wv flam err
7908.062345769386 0.0 2.1091659184800764e-13
7920.034533239217 1.3946106372129757e-18 1.5011450875339765e-18
7932.006720709049 1.0291066393393562e-18 1.386563046393461e-18
7943.97890817888 1.8456267510732803e-19 1.3368302034424435e-18
7955.951095648712 1.6868626396530701e-18 1.254021639993675e-18
7967.923283118543 8.288847189990258e-19 1.2996603562675585e-18
7979.895470588374 7.106729682482912e-19 1.2341949237062623e-18
7991.867658058206 6.718533511543452e-19 1.1029769850301757e-18
8003.839845528037 3.3857966163014706e-19 1.080323844917662e-18
8015.812032997868 6.310507205914192e-20 1.034985307590843e-18
8027.7842204677 6.256782850923245e-19 1.0408401168305533e-18
8039.756407937532 2.732376020918032e-33 9.62507310215894e-19
8051.728595407363 2.891632096479825e-19 9.91410370494554e-19
8063.700782877194 3.5868968430786197e-19 8.92160817284633e-19
8075.6729703470255 1.5183762899413419e-18 8.706445732299698e-19
8087.645157816857 4.738217344591306e-19 7.880791916868601e-19
8099.617345286688 3.615897112219178e-19 7.669203043652746e-19
8111.5895327565195 8.270550583289755e-19 6.963395824068537e-19
8123.561720226351 8.367780173880519e-19 7.537132875501338e-19
8135.533907696183 4.442178250353249e-19 6.99644285378851e-19
8147.506095166013 3.343290789748429e-19 7.30652593976154e-19
8159.478282635845 4.555324168242648e-19 7.011141590412919e-19
8171.450470105677 7.400243781805683e-19 7.008066053681905e-19
8183.422657575508 5.7401753744997125e-19 6.708521184432062e-19
8195.394845045339 6.798326858700241e-19 6.687702961486902e-19
8207.36703251517 1.7782058153564296e-19 6.433775213063934e-19
8219.339219985002 1.8975859577186168e-18 6.22561856756394e-19
8231.311407454834 5.405260690647702e-19 6.093636958472314e-19
8243.283594924666 3.8327748693801616e-19 5.536731060196884e-19
8255.255782394495 8.634792080516798e-19 5.7792978766209e-19
8267.227969864327 7.990332751386961e-19 5.165692857081304e-19
8279.200157334159 1.429420046777079e-19 5.429607684234921e-19
8291.17234480399 1.653913685821937e-19 4.950171311055091e-19
8303.144532273822 5.242795649313259e-19 4.744715987525682e-19
8315.116719743653 5.871861762185445e-19 4.559562793972924e-19
8327.088907213485 6.488738314650506e-19 4.508051181702532e-19
8339.061094683315 5.905888043203492e-19 4.338830867958663e-19
8351.033282153148 6.76587437959684e-19 4.447501106799836e-19
8363.005469622978 4.2519031334234207e-19 4.2280256220253446e-19
8374.97765709281 7.348761275675027e-19 4.221433759854304e-19
8386.949844562641 6.644391402990737e-19 4.1473427494534277e-19
8398.922032032473 3.4465626152858753e-19 4.078602373315519e-19
8410.894219502305 7.321922614835037e-19 4.019730620899669e-19
8422.866406972136 9.061540384743275e-19 3.9675922581401334e-19
8434.838594441968 3.5398643766489517e-19 3.963002811730877e-19
8446.810781911798 4.755430329946383e-19 3.9167312223918663e-19
8458.78296938163 3.7017490503746507e-19 3.814902115900987e-19
8470.755156851461 4.433013052486052e-19 3.825795653626271e-19
8482.727344321293 3.082442205418303e-19 3.86723045588758e-19
8494.699531791124 8.212669242395776e-19 3.6153182852995427e-19
8506.671719260954 1.7829424961530022e-19 3.6562683825991964e-19
8518.643906730787 3.146676406007155e-19 3.5602515998089345e-19
8530.616094200617 7.563080461302215e-19 3.6222338341352e-19
8542.588281670449 4.457945438383338e-19 3.6751823806595624e-19
8554.56046914028 4.0149492651568703e-19 3.5632728518823246e-19
8566.532656610112 9.856919492988341e-19 3.7973517146475745e-19
8578.504844079944 2.8440761904250226e-19 3.4363701497827807e-19
8590.477031549775 3.6203721483802655e-19 3.756824548632387e-19
8602.449219019607 7.441436860806887e-19 3.4802923428858405e-19
8614.421406489437 3.0151375366629984e-19 3.7874770673431766e-19
8626.393593959268 4.804096464279903e-19 3.369830220366407e-19
8638.3657814291 3.845275374360116e-19 3.775810657319876e-19
8650.337968898932 5.133246039338704e-19 3.3948155840066433e-19
8662.310156368763 6.344506128654209e-19 3.756040397838692e-19
8674.282343838595 3.159384686467119e-19 3.3099534146565187e-19
8686.254531308427 8.500710757826786e-19 3.9542879171592725e-19
8698.226718778256 2.8849068314723897e-19 3.1398591544169727e-19
8710.19890624809 1.2236631774235602e-18 3.582188604577524e-19
8722.17109371792 3.3093006762432023e-19 3.0251025367347297e-19
8734.143281187751 4.966799962354924e-19 3.4613234158316514e-19
8746.115468657583 4.1552824908899416e-19 2.918590839479268e-19
8758.087656127414 3.7671994623711974e-19 3.3313127508952834e-19
8770.059843597246 8.460950121727812e-20 2.91396754919855e-19
8782.032031067078 1.896498755937998e-19 3.36499392246183e-19
8794.00421853691 2.7199260509475325e-19 2.8199516309089e-19
8805.97640600674 4.463007033476272e-19 3.18266818033548e-19
8817.94859347657 3.4532051919811834e-19 2.7969347633248654e-19
8829.920780946402 3.4390906405003355e-19 2.734086333015267e-19
8841.892968416234 5.403914426577381e-19 2.447161984443369e-19
8853.865155886066 3.8731481110690967e-19 2.6471806615799354e-19
8865.837343355895 4.479666407452454e-19 2.430017701284125e-19
8877.809530825729 1.0476921352752211e-19 2.5907100902252783e-19
8889.781718295559 3.809277766260485e-19 2.4012923165256165e-19
8901.75390576539 1.5654899703395592e-19 2.7555624100640133e-19
8913.726093235222 3.1429548641226155e-19 2.438445083641132e-19
8925.698280705054 2.6237720641115334e-19 2.4900622662091417e-19
8937.670468174885 3.583772770020137e-19 2.3844861081416723e-19
8949.642655644717 4.817113101871471e-19 2.4689274963911923e-19
8961.614843114548 2.658168486345296e-19 2.2988476534627737e-19
8973.587030584378 3.702308314364955e-19 2.4972624869362386e-19
8985.55921805421 3.3287815512245945e-19 2.262015570395198e-19
8997.531405524041 4.89236656950461e-19 2.2920835980516116e-19
9009.503592993873 3.721065287364039e-19 2.1428582561480887e-19
9021.475780463705 6.76284094498721e-19 2.265290085711505e-19
9033.447967933536 4.82794623805165e-19 2.1109696768790993e-19
9045.420155403368 5.169601322333717e-19 2.2835237208074373e-19
9057.392342873198 3.9441312679005625e-19 2.0941715788803948e-19
9069.36453034303 1.609624519369734e-19 2.263625935598641e-19
9081.336717812861 3.628745926845211e-19 1.9209898891154817e-19
9093.308905282693 3.5651369010263085e-19 2.0508043466027113e-19
9105.281092752524 3.4785498731410977e-19 1.884293322397971e-19
9117.253280222356 5.454220013271121e-19 2.0444307133812151e-19
9129.225467692188 5.007631728364284e-19 1.9165496430812465e-19
9141.197655162017 4.27359690535086e-19 1.9944124621177355e-19
9153.16984263185 1.3332769047828367e-19 1.8486469472936504e-19
9165.14203010168 3.6226863486072014e-19 1.974501774401126e-19
9177.114217571512 1.067210867146546e-19 1.8030708651023754e-19
9189.086405041344 5.156948622556477e-19 1.9073030248731383e-19
9201.058592511175 5.443412430517325e-19 1.811650113318247e-19
9213.030779981007 5.862676613251761e-19 1.98402953572024e-19
9225.002967450839 4.1519917588503094e-19 1.8611060566389573e-19
9236.97515492067 3.4250125220861715e-19 1.8712516441472922e-19
9248.9473423905 3.422853876820616e-19 1.7353366200879212e-19
9260.919529860332 2.665121354394821e-19 1.8087458813998702e-19
