wv flam err
7921.019914810379 2.390250108212254e-18 1.6018761547297455e-18
7933.155474173613 6.172505950226665e-18 1.526371260081629e-18
7945.291033536847 5.151663363134534e-18 1.4651946803952956e-18
7957.426592900081 4.174831460301897e-18 1.3316301700382375e-18
7969.5621522633155 6.528243912161598e-18 1.3294774016631483e-18
7981.697711626549 5.642803728305292e-18 1.217807586045648e-18
7993.833270989783 5.208213126907892e-18 1.2436109911759734e-18
8005.9688303530165 2.2547945428455912e-18 1.1348086268050556e-18
8018.104389716251 4.380839330201417e-18 1.1700755552834863e-18
8030.239949079485 3.316759207698361e-18 1.1127874230084022e-18
8042.375508442719 5.616385629032738e-18 1.1690176711849098e-18
8054.511067805953 2.215931279198374e-18 1.0330867346521823e-18
8066.646627169186 4.505050855084168e-18 1.0927099021711342e-18
8078.78218653242 4.3152718019156595e-18 1.0283563054904128e-18
8090.917745895655 3.49346441764771e-18 1.050457995196507e-18
8103.053305258889 3.872538337884509e-18 9.88531980651909e-19
8115.188864622123 2.0652217329346623e-18 1.0259630251252504e-18
8127.324423985357 5.525775207739364e-18 9.66530710393792e-19
8139.459983348591 2.690238604398117e-18 9.85757197723036e-19
8151.595542711824 4.824411856926747e-18 9.758309166666173e-19
8163.7311020750585 3.469407962808931e-18 9.50879705897464e-19
8175.866661438293 5.006177273171856e-18 8.827148504425928e-19
8188.002220801526 4.108091026816628e-18 9.226377138957383e-19
8200.137780164761 4.1018277085480156e-18 8.528006744643204e-19
8212.273339527994 4.800115661621536e-18 9.628950407159542e-19
8224.408898891228 4.834169588187965e-18 8.262581355559889e-19
8236.544458254462 4.543438976384224e-18 8.368503099086582e-19
8248.680017617697 4.2571013516225795e-18 7.66434038413666e-19
8260.815576980931 3.703223955198026e-18 7.831786120513356e-19
8272.951136344163 4.5104667103965175e-18 7.407103276796453e-19
8285.086695707398 5.403647067622685e-18 7.541469329089624e-19
8297.222255070632 4.068872812945658e-18 7.182125675540397e-19
8309.357814433866 3.792255317036448e-18 7.101054445792494e-19
8321.4933737971 4.542545823721851e-18 6.59788100153902e-19
8333.628933160335 4.4849359523234425e-18 6.864873596640801e-19
8345.764492523569 4.2300911458440434e-18 6.411956837073396e-19
8357.900051886802 4.229648374956205e-18 7.126640533386225e-19
8370.035611250036 5.2706519499091825e-18 6.277944007783739e-19
8382.17117061327 4.615239424685356e-18 6.580261153923431e-19
8394.306729976504 3.470212147845974e-18 6.078997931646528e-19
8406.442289339739 4.38424838836767e-18 6.553706674783978e-19
8418.577848702971 3.8434139728389205e-18 5.906835664975004e-19
8430.713408066205 4.6127657264225445e-18 6.404909953236965e-19
8442.84896742944 4.962165212985663e-18 5.746847010879123e-19
8454.984526792674 5.257322986462348e-18 6.022780712823927e-19
8467.120086155908 4.646490424384019e-18 5.556882839649431e-19
8479.255645519142 4.4244151024224995e-18 5.850673382508629e-19
8491.391204882377 4.9958588924274415e-18 5.443991980995906e-19
8503.52676424561 5.152079973247102e-18 5.7271388999964e-19
8515.662323608844 4.274038065753726e-18 5.336982459959511e-19
8527.797882972078 4.4200566437759595e-18 5.592939398854251e-19
8539.933442335312 3.9922616343228125e-18 5.279388532371601e-19
8552.069001698546 4.479683533635881e-18 5.563110522143655e-19
8564.204561061779 5.681220910746512e-18 5.219635095393678e-19
8576.340120425013 4.450144823819752e-18 5.888148980310622e-19
8588.475679788247 4.265770437340529e-18 5.141849063146056e-19
8600.611239151482 4.700526540263448e-18 5.44262852994437e-19
8612.746798514716 5.270661469754687e-18 5.133940869351351e-19
8624.882357877948 4.405670569157776e-18 5.417039692766063e-19
8637.017917241183 4.523807368245717e-18 5.149646874374968e-19
8649.153476604417 4.593651025981483e-18 5.347652066855519e-19
8661.289035967651 3.794662691092644e-18 5.002325021833686e-19
8673.424595330885 4.795655963521047e-18 5.314510565194734e-19
8685.560154694118 4.694202209418485e-18 4.855327681643059e-19
8697.695714057354 5.938922971591167e-18 5.036955709551407e-19
8709.831273420587 4.821164626502002e-18 4.723904656279484e-19
8721.96683278382 4.7176914445552e-18 4.900375770064553e-19
8734.102392147055 4.185411512351745e-18 4.538276751324421e-19
8746.23795151029 4.947386740762204e-18 4.770602103105296e-19
8758.373510873524 4.578001806092923e-18 4.438130259652744e-19
8770.509070236756 4.284659613505724e-18 4.666097213331171e-19
8782.64462959999 3.577012805381056e-18 4.310300773113339e-19
8794.780188963225 4.796684117903679e-18 4.59420614207142e-19
8806.915748326459 4.655378590343225e-18 4.2712219399955156e-19
8819.051307689693 5.18260846405576e-18 4.546483147696685e-19
8831.186867052927 4.213410645826871e-18 4.1749135689802033e-19
8843.322426416162 4.4435601274795605e-18 4.483877840107692e-19
8855.457985779394 4.64087737703281e-18 4.2005995534124194e-19
8867.593545142628 3.856337982370917e-18 4.313340936196701e-19
8879.729104505863 4.602711326956243e-18 4.0720239015831925e-19
8891.864663869097 5.201047544754777e-18 4.274358011929058e-19
8904.000223232331 4.810443399723888e-18 4.0303098374579374e-19
8916.135782595564 5.647649658517795e-18 4.375041738163705e-19
8928.2713419588 4.563090723464894e-18 3.8894666714962825e-19
8940.406901322032 4.4610747959834476e-18 4.1651753656165414e-19
8952.542460685267 4.742519755999046e-18 3.8411273329078744e-19
8964.678020048501 4.39089795037219e-18 4.128190973934832e-19
8976.813579411735 5.2339717034455235e-18 3.766191506581171e-19
8988.94913877497 5.08491824706354e-18 3.9597420795585626e-19
9001.084698138202 5.657674325736144e-18 3.695974426974002e-19
9013.220257501436 5.564634247249177e-18 3.8907956121938945e-19
9025.35581686467 5.069591433191835e-18 3.620489649732654e-19
9037.491376227905 5.806918342823599e-18 3.846450746134486e-19
9049.626935591139 5.8602651652849484e-18 3.6316011333601396e-19
9061.762494954372 5.897821597922083e-18 3.892212171420218e-19
9073.898054317606 5.2383581591336204e-18 3.5829447904393185e-19
9086.03361368084 5.5052522370340234e-18 3.808153149896472e-19
