wv flam err
7907.227588193527 1.8457100074412005e-19 1.6707660192736407e-18
7919.242726684555 1.1322471423542084e-18 8.98382813050113e-19
7931.257865175583 1.2302337475430637e-18 8.439635448119448e-19
7943.273003666612 1.5462936175946259e-18 7.892810148925618e-19
7955.28814215764 1.9487983662834296e-18 7.768254207922503e-19
7967.303280648669 9.835945138099395e-19 7.074449219750852e-19
7979.318419139698 1.0513163577160185e-18 6.961567108262165e-19
7991.333557630726 1.2920817466464628e-18 6.5924547340916545e-19
8003.348696121754 1.9057206075224195e-18 6.551399244818279e-19
8015.363834612783 1.7162513211624452e-18 6.142431693875768e-19
8027.378973103811 7.707066227140925e-19 6.177915803669947e-19
8039.39411159484 5.419615534904917e-19 5.87760446278223e-19
8051.409250085869 1.1365975744483089e-18 5.913276083939654e-19
8063.424388576897 4.592459540125682e-19 5.677165417050415e-19
8075.439527067925 9.091463027933212e-19 5.722864587488645e-19
8087.454665558954 1.5019191455994252e-18 5.508738853010785e-19
8099.4698040499825 1.1582347852483095e-18 5.596637930413747e-19
8111.484942541011 1.4444078660299035e-18 5.336297822392908e-19
8123.50008103204 9.277231959583708e-19 5.412881525969721e-19
8135.515219523068 1.7027021436252095e-18 5.243309326813125e-19
8147.530358014097 1.403156084236311e-18 5.339972490876097e-19
8159.545496505125 1.4660222210465944e-18 5.060816526150124e-19
8171.560634996154 8.918131102897533e-19 5.104639593831378e-19
8183.575773487182 1.2049878320202782e-18 4.830862504400941e-19
8195.59091197821 8.754714814900625e-19 4.91925426055297e-19
8207.60605046924 5.878019717208911e-19 4.707647297064485e-19
8219.621188960267 5.040507994466058e-19 4.64580235931545e-19
8231.636327451295 8.913958519448618e-19 4.405589432424136e-19
8243.651465942325 1.1907369595287246e-18 4.404074679549012e-19
8255.666604433352 1.1858135366979921e-18 4.157222958900911e-19
8267.681742924382 1.5864305928917168e-18 4.195068511202182e-19
8279.69688141541 9.97615027739079e-19 3.941359432714715e-19
8291.712019906437 4.683842920224529e-19 3.9736923751677233e-19
8303.727158397467 8.423972669157832e-19 3.793355148637331e-19
8315.742296888495 6.455444948586394e-19 3.911402683258228e-19
8327.757435379524 1.2060241659494683e-18 3.7255653323057135e-19
8339.772573870552 1.1524271389185243e-18 3.743567078830923e-19
8351.787712361582 7.573793747157085e-19 3.6166018088271686e-19
8363.80285085261 1.0477542719968277e-18 3.6881293972290165e-19
8375.817989343639 1.192076215271192e-18 3.5143028670097764e-19
8387.833127834667 8.540620618477868e-19 3.556124131448845e-19
8399.848266325695 1.1138683028786713e-18 3.432631279388547e-19
8411.863404816724 9.43923365658806e-19 3.451281652534923e-19
8423.878543307752 1.1112035466590192e-18 3.2833484017858777e-19
8435.893681798781 8.173858028764868e-19 3.3197840103428015e-19
8447.90882028981 9.202282201002311e-19 3.1778719217618564e-19
8459.923958780837 9.95301473721928e-19 3.2083346128238425e-19
8471.939097271867 9.900814123036779e-19 3.076118365964492e-19
8483.954235762894 8.281793385120625e-19 3.1628387606341655e-19
8495.969374253924 4.3102951970710064e-19 3.112673255316546e-19
8507.984512744952 6.238264016469413e-19 3.073315512159238e-19
8519.99965123598 7.065203932036292e-19 2.9332744774985064e-19
8532.014789727009 1.029597686009128e-18 3.0000148040870575e-19
8544.029928218037 9.884221359400042e-19 2.9176461486549167e-19
8556.045066709066 7.303590345564667e-19 2.9840717218093886e-19
8568.060205200094 8.168299792539918e-19 2.9398090179702393e-19
8580.075343691122 7.567453455973297e-19 3.0355234041317406e-19
8592.090482182151 1.101600074828266e-18 2.935468131249381e-19
8604.10562067318 1.1315038926563028e-18 3.022622209704885e-19
8616.120759164209 1.1006620162371185e-18 2.925862105996843e-19
8628.135897655236 8.639135693686857e-19 3.0227895277321577e-19
8640.151036146264 1.132019451801657e-18 2.910382435146111e-19
8652.166174637294 1.1992172364005175e-18 2.96461028427702e-19
8664.181313128322 1.0775176183812171e-18 2.845971094710421e-19
8676.196451619351 8.518026848351088e-19 2.8676234428552993e-19
8688.211590110379 8.618850508752358e-19 2.7672731769026453e-19
8700.226728601407 8.938303924445038e-19 2.7691292258493e-19
8712.241867092436 1.5452672769369991e-18 2.6482705839125684e-19
8724.257005583466 1.0785933808943875e-18 2.694489827486587e-19
8736.272144074494 1.233758455438425e-18 2.5984920335021087e-19
8748.287282565521 1.056373801587617e-18 2.607670477608672e-19
8760.30242105655 1.040679596744023e-18 2.4764175379933065e-19
8772.317559547579 1.1461491223343422e-18 2.5134786122832255e-19
8784.332698038608 1.1951474938316705e-18 2.427907614997677e-19
8796.347836529636 1.228836427887255e-18 2.4524315786485044e-19
8808.362975020664 1.1357805547779287e-18 2.3990253906397815e-19
8820.378113511693 1.3980464985591966e-18 2.442513117685043e-19
8832.393252002721 1.01859832351487e-18 2.354398426819947e-19
8844.40839049375 9.966978868984052e-19 2.3789890302771126e-19
8856.423528984778 1.0777204421664177e-18 2.309910478816542e-19
8868.438667475806 9.087900715250572e-19 2.3412881388628135e-19
8880.453805966836 1.1689177924477202e-18 2.270289656094005e-19
8892.468944457863 1.068183863954135e-18 2.3422856622017096e-19
8904.484082948893 1.6241337458200302e-18 2.260549008882083e-19
8916.49922143992 1.2795949421686048e-18 2.307831655076254e-19
8928.514359930949 1.1488671987172485e-18 2.2565818095544736e-19
8940.529498421978 1.235467087872834e-18 2.3517398975632003e-19
8952.544636913006 1.2236835769099747e-18 2.267333895803295e-19
8964.559775404035 1.3874093767041971e-18 2.3345349864928237e-19
8976.574913895063 1.5131650210215536e-18 2.270844370463465e-19
8988.590052386091 1.151860636974413e-18 2.2943393699479045e-19
9000.60519087712 1.2015828352840361e-18 2.2582358459939605e-19
9012.620329368148 1.3268198846687263e-18 2.3153907348434955e-19
9024.635467859178 1.2869032152688984e-18 2.2033273416425735e-19
9036.650606350206 1.4074669815908532e-18 2.2812572497093974e-19
9048.665744841233 1.3842570461213431e-18 2.1980956319991e-19
9060.680883332263 1.382305349735449e-18 2.255059195727922e-19
9072.69602182329 1.3420921595205982e-18 2.1914700888628417e-19
9084.71116031432 1.0725608380219952e-18 2.2163168070442324e-19
9096.726298805348 1.0108902818362615e-18 2.1753104924720617e-19
9108.741437296376 1.4360743179584012e-18 2.202786130571927e-19
9120.756575787405 1.3392425114705497e-18 2.1279859858347561e-19
9132.771714278435 1.4818260467103172e-18 2.1656767392898063e-19
9144.786852769463 1.4993043092724803e-18 2.0895693491661914e-19
9156.80199126049 1.6081283742611516e-18 2.0869882657767496e-19
9168.817129751518 9.598917400335754e-19 2.006222151867346e-19
9180.832268242548 1.2757191449124728e-18 2.108937019674263e-19
9192.847406733577 1.4521209234996345e-18 1.9849728650948e-19
9204.862545224605 1.5210053638171073e-18 2.1020752713651293e-19
9216.877683715633 1.4692521742397286e-18 1.9464375727767526e-19
9228.892822206662 1.2760069038609952e-18 2.0106588638395546e-19
9240.90796069769 1.1761077295528693e-18 1.9231281828675656e-19
9252.92309918872 1.1212867767384659e-18 1.9415375782243857e-19
9264.938237679748 1.2657272636023027e-18 1.8928020677285474e-19
9276.953376170775 1.3773955799983597e-18 1.9213252483539727e-19
9288.968514661805 1.555867472730746e-18 1.8755533713943607e-19
9300.983653152833 1.396616587581196e-18 1.9106022811147811e-19
9312.998791643862 1.2925085875485636e-18 1.8659617175667953e-19
9325.01393013489 1.2205397649191555e-18 1.8893139045481166e-19
9337.029068625918 1.0488815871813445e-18 1.8406422431098536e-19
9349.044207116947 1.0724217997823934e-18 1.8988028889452966e-19
9361.059345607975 8.391936901921049e-19 1.8541514657172477e-19
9373.074484099005 8.701869808987759e-19 1.8616828110876508e-19
9385.089622590032 1.139967998580905e-18 1.8236214090932675e-19
9397.10476108106 1.3396736416598418e-18 1.8717156723893922e-19
9409.11989957209 9.946771603487867e-19 1.8079612934908757e-19
9421.135038063117 1.0672572230188092e-18 1.8264311778721294e-19
9433.150176554147 1.3878277815504765e-18 1.8076654418067793e-19
9445.165315045175 1.887360168225555e-18 1.847266789988013e-19
9457.180453536203 1.400212441497651e-18 1.7462842010780615e-19
9469.195592027232 1.0568196438823529e-18 1.7726397935004421e-19
9481.21073051826 1.2826317499937692e-18 1.732497878751946e-19
9493.22586900929 1.4717335203060072e-18 1.7571568107245832e-19
9505.241007500317 1.5300300011114765e-18 1.760511528347126e-19
9517.256145991345 1.4373681669639563e-18 1.7263017563914823e-19
9529.271284482375 1.5656802635024343e-18 1.7129877485815027e-19
9541.286422973402 1.4653503345692418e-18 1.7408388068054277e-19
9553.301561464432 1.3927763044894972e-18 1.6839070802824069e-19
9565.31669995546 1.4491140952764128e-18 1.6953618044235318e-19
9577.33183844649 1.6808690278582151e-18 1.6614939232833824e-19
9589.346976937517 1.4433235661800737e-18 1.6829069232689288e-19
9601.362115428545 1.1977891434523338e-18 1.6433045603650483e-19
9613.377253919574 1.2612974395750888e-18 1.6823761725122449e-19
9625.392392410602 1.6485374790626888e-18 1.6247506046237996e-19
9637.407530901632 1.5587745818660937e-18 1.649890243181979e-19
9649.42266939266 1.5062184404259707e-18 1.6105507734893926e-19
9661.437807883689 1.3066614012698406e-18 1.630055650154854e-19
9673.452946374717 1.4720759279286944e-18 1.635581708686963e-19
9685.468084865744 1.3986643068897968e-18 1.6227233596296424e-19
9697.483223356774 1.5239390850969708e-18 1.6105750857147474e-19
9709.498361847802 1.3900783968183864e-18 1.630677011620287e-19
9721.513500338831 1.1172320764941925e-18 1.5825586030275638e-19
9733.52863882986 1.3936619365723586e-18 1.5969287669905007e-19
