wv flam err
7915.694722715764 6.196446750805553e-19 1.2047482363456626e-18
7927.917735914499 1.217537957408792e-18 1.0855071007679336e-18
7940.140749113233 1.2362722105146498e-18 1.0647154731841591e-18
7952.363762311968 2.591171611450425e-18 1.0004177175348122e-18
7964.586775510702 1.261202358549269e-18 9.924728394184752e-19
7976.809788709436 4.709120000361106e-19 8.998925658791298e-19
7989.032801908171 4.400772398426224e-19 9.104687261595239e-19
8001.255815106905 4.5486468948737304e-20 8.385642447459523e-19
8013.4788283056405 1.1345957456571586e-18 8.552486507358445e-19
8025.701841504374 7.43685317122692e-19 7.925396144409258e-19
8037.924854703109 2.6534527397454733e-19 7.977032149157899e-19
8050.147867901844 0.0 7.942209339173299e-19
8062.370881100578 7.937064835193823e-19 7.875972847103146e-19
8074.5938942993125 5.614522011513483e-19 7.269842712566683e-19
8086.816907498047 6.597938378688236e-19 7.456942965656436e-19
8099.039920696781 1.7470012072900088e-19 7.061466200735637e-19
8111.262933895516 4.969633708104544e-19 7.282902450955181e-19
8123.48594709425 1.9784471558558118e-19 6.749997810607331e-19
8135.708960292985 9.092974989666574e-19 6.960808968534463e-19
8147.931973491719 8.93785760464695e-19 6.451209129250638e-19
8160.154986690453 9.61441418525852e-19 6.701056446483098e-19
8172.377999889188 7.488667116517467e-19 6.248819999013054e-19
8184.601013087922 1.4202558515205284e-18 6.502115894760382e-19
8196.824026286657 2.860648371964803e-19 6.028726815798494e-19
8209.047039485391 3.780657037991412e-19 6.318558317438664e-19
8221.270052684125 9.711786217640784e-19 6.428896651976713e-19
8233.49306588286 1.0648490887094706e-18 6.375555223235067e-19
8245.716079081594 4.393871375305535e-19 5.536101544113649e-19
8257.939092280329 5.928577745613711e-19 5.707632685598399e-19
8270.162105479063 1.083390518086034e-18 5.253822037865727e-19
8282.385118677797 8.93010833892774e-19 5.451885868025883e-19
8294.608131876532 2.699278543772057e-19 5.022700726819226e-19
8306.831145075266 1.1378761992719212e-18 5.254823601404189e-19
8319.054158274 9.252911222820228e-19 4.847107790079644e-19
8331.277171472735 1.6405179867511686e-19 4.98889564344024e-19
8343.50018467147 9.837824512097357e-19 4.765798396481074e-19
8355.723197870206 5.337065643247085e-19 4.917721908751103e-19
8367.946211068938 6.275270868532669e-19 4.575309237397572e-19
8380.169224267675 9.783557228600153e-19 4.81493505678741e-19
8392.392237466409 7.627151186263993e-19 4.572731451281619e-19
