 gid ra dec x_pos y_pos
63 43809 53.135495 -27.705274 1592.4777635795263 730.3874848437699
64 43926 53.14992 -27.704937 826.2010693203347 750.4834564479788
65 44020 53.148362 -27.704306 908.9561484917531 788.3612901408123
66 44050 53.125394 -27.703379 2129.0517578047356 844.1213115456303
67 44083 53.134834 -27.704124 1627.5840373388355 799.3912206408932
68 44085 53.128724 -27.704 1952.1571568308054 806.8550187873334
69 44091 53.131155 -27.703971 1823.0180807507613 808.5874914100605
70 44152 53.130503 -27.703681 1857.6523683137502 825.9898125732216
71 44166 53.146998 -27.703653 981.4062761356081 827.5560629965148
72 44228 53.131804 -27.702215 1788.5342947915024 913.9453632481273
73 44402 53.127122 -27.703426 2037.256962960827 841.2986911418084
74 44459 53.150566 -27.70251 791.8517381074735 896.0962375462805
75 44496 53.118688 -27.702327 2485.290284451291 907.2394477392518
76 44588 53.140461 -27.702833 1328.6571517199454 876.8153202011636
77 44598 53.134724 -27.700734 1633.4075957420255 1002.7924058266617
78 44619 53.117612 -27.701438 2542.4523904748557 960.5774764298767
79 44643 53.119551 -27.702401 2439.445399737796 902.8007851570655
80 44674 53.139378 -27.701263 1386.1758679983186 971.0236225175358
81 44711 53.12902 -27.70217 1936.4275169700113 916.6545642621422
82 44767 53.123451 -27.701469 2232.267239553027 958.7230564523525
83 44773 53.151391 -27.700697 748.0003288894632 1004.8665408885463
84 44784 53.126835 -27.701268 2052.4986784110906 970.7796047589909
85 44805 53.127918 -27.701282 1994.9664212304024 969.9374430702119
86 44810 53.118526 -27.701049 2493.898776719946 983.9193929088215
87 44824 53.141158 -27.70109 1291.6152253039882 981.3902159549652
88 44842 53.151169 -27.701064 759.7988104363403 982.8492006405759
89 44843 53.139312 -27.700765 1389.6779627304595 1000.9041878782991
90 44848 53.129577 -27.701424 1906.8357208571024 961.4131290617552
91 44871 53.138847 -27.701088 1414.3828487134024 981.5273997642835
92 44920 53.138759 -27.700469 1419.0528471117223 1018.6681250847396
93 44959 53.139785 -27.700114 1364.5452128375628 1039.9608869414333
