 gid ra dec x_pos y_pos
0 36794 53.058141 -27.734958 1362.062438192257 102.0
1 37792 53.05902 -27.733606 1315.4237695369611 183.1444671090867
2 37800 53.060283 -27.734835 1248.3117172709644 109.43871994424444
3 37812 53.045457 -27.728628 2035.906503960594 481.4125398837259
4 37939 53.061621 -27.734028 1177.279021446153 157.89446699377004
5 38084 53.078184 -27.73345 297.67862579219036 192.9520904939327
6 38105 53.080949 -27.733018 150.84554990702236 218.92363428924
7 38124 53.062033 -27.732872 1155.4331767630683 227.26541070011262
8 38140 53.062306 -27.732987 1140.9313848900747 220.37253270373003
9 38165 53.04548 -27.732864 2034.5250890168318 227.25279852160747
10 38209 53.051599 -27.731562 1709.6043078455004 305.5688126822515
11 38322 53.075428 -27.731574 444.08593035815466 305.4576520441733
12 38326 53.079353 -27.73139 235.63977155856992 316.5744622970815
13 38365 53.058486 -27.731307 1343.8552520306603 321.0699692057715
14 38398 53.049253 -27.732011 1834.1803435931179 278.5555771858162
15 38466 53.050799 -27.731425 1752.0957907489537 313.76413873299316
16 38493 53.065954 -27.73092 947.2521338645274 344.4849854437889
17 38560 53.078023 -27.73102 306.2820063476629 338.74922164389864
18 38571 53.060217 -27.730747 1251.941636076679 354.7173648344069
19 38763 53.067936 -27.729925 842.0174786396547 404.23279699414707
20 38767 53.048552 -27.729458 1871.5016682450641 431.7135484250721
21 38783 53.051195 -27.729287 1731.1395949263588 442.05664372845604
22 38798 53.075625 -27.729264 433.67677248178006 444.0618989567138
23 38818 53.047533 -27.729171 1925.6306588385214 448.9007495214937
24 38832 53.044577 -27.729709 2082.601828793053 416.5229019325543
25 38867 53.05672 -27.728934 1437.7213152141449 463.4006141955251
26 38876 53.073991 -27.729515 520.451596821762 428.96808523517393
27 38893 53.039485 -27.729477 2353.043591982325 430.2656549956064
28 39012 53.06424 -27.727621 1038.374614067072 542.3827288549164
29 39021 53.06846 -27.728256 814.2325667179557 504.38530777159394
30 39038 53.046712 -27.7287 1969.251060557419 477.13402822424905
31 39042 53.073889 -27.727806 525.9095366877336 531.5061209703181
32 39048 53.044284 -27.728197 2098.2207938997326 507.2331946412414
33 39071 53.051746 -27.728007 1701.9206868498368 518.8737379194008
34 39085 53.071304 -27.728352 663.185529650058 498.6901453578448
35 39106 53.070908 -27.728215 684.2205099584589 506.90133993553536
36 39116 53.049667 -27.727736 1812.3462012868367 535.0691736310619
37 39134 53.068322 -27.728019 821.5680377621848 518.6020988304081
38 39141 53.075516 -27.727771 439.50014854500114 533.6398402432424
39 39162 53.043995 -27.727468 2113.5976263117263 550.9634905184485
40 39170 53.041826 -27.725868 2228.8572202970427 646.8890189791
41 39172 53.072413 -27.727473 604.3082921021305 551.4545838284066
42 39241 53.042327 -27.726209 2202.235147115809 626.4464034628945
43 39273 53.050952 -27.726909 1744.1285928736397 584.7294240536594
44 39278 53.076025 -27.7268 412.48924269445706 591.9102602668863
45 39289 53.066621 -27.726935 911.937942293267 583.6016689417702
46 39302 53.061449 -27.72675 1186.631384528162 594.5707222339479
47 39314 53.064455 -27.727152 1026.9692677349249 570.5281987092967
48 39325 53.043289 -27.72713 2151.106650986643 571.219447522988
49 39326 53.04782 -27.726686 1910.4791871421694 598.0103551805805
50 39348 53.072993 -27.726805 573.5205523945478 591.5471776503364
51 39358 53.060006 -27.727012 1263.2620530343283 578.8120919791036
52 39364 53.062821 -27.726461 1113.7720064204113 611.9466234426945
53 39377 53.065023 -27.726809 996.8121932251142 591.1224496414943
54 39406 53.061178 -27.726968 1201.0178193930587 581.483515706348
55 39433 53.039389 -27.726636 2358.2577798415678 600.7225815674246
56 39460 53.067192 -27.726335 881.6280888446581 619.6154909279139
57 39505 53.052674 -27.725044 1652.735969818059 696.6823446980907
58 39568 53.058858 -27.726325 1324.254400542819 620.0008260329196
59 39617 53.043149 -27.725732 2158.5964828788037 655.094832624547
60 39631 53.042169 -27.725928 2210.6377404621817 643.3009561180552
61 39634 53.078237 -27.724924 295.04932660825034 704.5139924962823
62 39649 53.05963 -27.725792 1283.2692346752847 652.0020353806904
63 39656 53.047319 -27.725594 1937.1278961822409 663.5142543854436
64 39670 53.074058 -27.725689 516.984277368636 658.5299142451531
65 39684 53.05511 -27.725766 1523.3324646464716 653.4345912743775
66 39689 53.046176 -27.725094 1997.852765818394 693.4768572575631
67 39706 53.043265 -27.716905 2152.7783148723356 1184.7201276605483
68 39707 53.07228 -27.724613 611.4424735056982 723.052022628166
69 39745 53.071995 -27.724923 626.5716223947893 704.4457649563356
70 39764 53.042954 -27.721406 2169.1217912076936 914.6487463449303
71 39801 53.053064 -27.72461 1632.0372523157985 722.7341548818586
72 39807 53.045637 -27.72493 2026.4860434849106 703.2990173353828
73 39826 53.0634 -27.725007 1083.0630020506705 699.2016923411593
74 39847 53.041672 -27.724336 2237.0970105092147 738.803852130508
75 39868 53.069738 -27.724309 746.460293569362 741.2353380702607
76 39884 53.069679 -27.723321 749.6195065027696 800.5141102986618
77 39896 53.051093 -27.724073 1736.7392676086947 754.8941555636811
78 39933 53.051375 -27.724158 1721.7587220198402 749.8028413993834
79 39939 53.077753 -27.72405 320.7745246707527 756.9447531875921
80 39946 53.082382 -27.723988 74.92044659640123 760.7499663471008
81 39973 53.040749 -27.723895 2286.136941730152 765.2314585701388
82 40001 53.054703 -27.72382 1545.0133924159145 770.1829355565314
83 40002 53.070708 -27.724111 694.9468308294854 753.1373350715003
84 40023 53.058188 -27.723702 1359.921415371824 777.362599913633
85 40078 53.055616 -27.723439 1496.5345301655598 793.06959843203
