gid,ra,dec,x_pos,y_pos
35984,189.15012,62.333933,1945.87551172838,2565.2085404106747
35986,189.190257,62.333567,827.7084882487234,2542.2385004054067
35988,189.181765,62.333836,1064.2790475306774,2558.5343651964286
35995,189.183991,62.333734,1002.2687411229617,2552.370500831672
36015,189.177322,62.334046,1188.0473797432496,2571.228296966852
36022,189.178482,62.333796,1155.742578125204,2556.202925354457
36047,189.18492,62.334896,976.340422595149,2622.0730008544815
36070,189.171581,62.334747,1347.9487296446605,2613.4223180679837
36071,189.14729,62.333996,2024.7119580184626,2569.085942919264
36100,189.180977,62.334775,1086.1906209705903,2614.8905342916296
36132,189.15792,62.334768,1728.519978021166,2615.058063502467
36138,189.200112,62.334888,553.1189437997182,2621.3567949761873
36145,189.166728,62.335603,1483.0961064372204,2664.9067136878148
36146,189.187875,62.336096,893.9741506845767,2694.019452038321
36156,189.192647,62.335475,761.0608557562136,2656.6805298236322
36161,189.20141,62.336077,516.929015605594,2692.6814076069477
36210,189.174063,62.33562,1278.7602188259098,2665.742803283805
36217,189.193152,62.335529,746.9909636132743,2659.9127698833345
36263,189.185216,62.339558,967.9068833845122,2901.788177252718
36277,189.166474,62.338094,1490.028465578056,2814.37385731189
36327,189.198812,62.336707,589.284361139582,2730.5134028777466
36341,189.173074,62.337151,1306.2325014710623,2757.626474308334
36381,189.183273,62.337725,1022.1039862235739,2791.8450097380774
36397,189.200258,62.337814,548.9747423963508,2796.915471154738
36401,189.200499,62.337976,542.2573473535667,2806.6325668913505
36497,189.166857,62.338509,1479.336161281919,2839.263701903459
36501,189.193234,62.338572,744.6068543277124,2842.492002015144
36542,189.19332,62.339409,742.1839625139419,2892.7108319998715
36588,189.195055,62.339723,693.8474838340244,2911.5251608706985
36606,189.181006,62.340051,1085.14993705915,2931.450756430051
36629,189.190351,62.340283,824.8515302889264,2945.1980055517124
36652,189.185,62.340477,973.8861722994952,2956.9323769865205
36672,189.176251,62.340566,1217.5679363733052,2962.4531950036107
