 gid ra dec x_pos y_pos
0 9344 189.138068 62.192708 1382.8258194700975 93.37254642980679
1 9876 189.131951 62.191681 1554.1323019036372 32.0
2 9931 189.133084 62.192283 1522.3653233527984 68.07293736006795
3 10076 189.159565 62.192647 781.1298352972863 88.97124724218975
4 10103 189.124626 62.19262 1759.07510430424 88.65754961042512
5 10272 189.139442 62.192807 1344.3594546633922 99.25919055504892
6 10295 189.135106 62.193812 1465.636364086533 159.7303182955202
7 10307 189.121875 62.193247 1836.0136321496393 126.40278511342513
8 10309 189.131121 62.193606 1577.190821443759 147.53477660295357
9 10328 189.134531 62.19394 1481.7188329959954 167.4336211109421
10 10485 189.153077 62.194626 962.5904514529702 207.91393082521608
11 10489 189.129187 62.194725 1631.2186535072142 214.7570323625623
12 10517 189.133554 62.194452 1509.0187874748572 198.19353609233622
13 10529 189.124664 62.194708 1757.8103405673191 213.93577764786642
14 10615 189.13773 62.194944 1392.0980933500705 227.54575604190723
15 10793 189.140365 62.195495 1318.304986844767 260.5037637931573
16 10856 189.162225 62.195534 706.4987920392869 262.1134071378001
17 10960 189.157531 62.197042 837.771980529742 352.7328206573866
18 10964 189.143077 62.196682 1242.309165850882 331.6219154642595
19 10996 189.132811 62.197139 1529.575553522218 359.444105843706
20 11063 189.115883 62.196956 2003.338872234146 349.2267618890728
21 11067 189.159573 62.197461 780.5978961685432 377.81099897308013
22 11090 189.136205 62.197589 1434.5530849008737 386.3060867405311
23 11124 189.143604 62.203642 1227.0120835655307 749.2023420214955
24 11279 189.146989 62.197751 1132.7460386124767 395.62061630095104
25 11283 189.143115 62.19799 1241.142048489337 410.10048681950684
26 11286 189.138052 62.198376 1382.797962177896 433.4530563615226
27 11323 189.12666 62.198701 1701.5688469173492 453.426847460074
28 11341 189.139826 62.198051 1333.179860255581 413.88432719605134
29 11353 189.12136 62.198107 1849.945136476943 418.02641303420023
30 11363 189.12418 62.19819 1771.0195821356083 422.87744353765993
31 11460 189.153153 62.198915 960.1634070923847 465.2514107246934
32 11557 189.1406 62.199031 1311.439540962203 472.65474076220016
33 11564 189.085099 62.199146 2864.568494112962 482.3307661708477
34 11578 189.068309 62.199177 3334.4145141829813 485.2927547707495
35 11590 189.067875 62.199107 3346.5699639906834 481.1228628218578
36 11592 189.154228 62.199885 930.0135272136886 523.4165976194718
37 11593 189.102152 62.199467 2387.3203462773818 500.5961607504869
38 11610 189.128341 62.199608 1654.4428077652246 507.77337515737236
