 gid ra dec x_pos y_pos
0 36042 189.338768 62.333976 705.1592352446369 29.0
1 36253 189.342687 62.33688 596.2866505027796 203.42946749498333
2 36258 189.335199 62.348374 806.0100915218572 892.7152050800341
3 36303 189.296568 62.34024 1881.2049991427375 403.22262959441105
4 36366 189.344915 62.337692 534.3102344925683 252.26004934847697
5 36420 189.297732 62.340677 1848.8118174777483 429.4770425529405
6 36435 189.332475 62.347383 881.7663805607626 833.1316733655713
7 36456 189.326178 62.343252 1056.7430316815062 584.9980665811036
8 36552 189.293494 62.339737 1966.7956140106344 372.9546523095996
9 36596 189.308286 62.343509 1555.0621032567378 599.7355081919504
10 36623 189.305536 62.340317 1631.4226622082333 408.1223266185898
11 36651 189.311051 62.340552 1477.8304157927123 422.41155237158273
12 36681 189.302864 62.340967 1705.8910365150823 447.03547050972156
13 36717 189.308688 62.341553 1543.7211950160672 482.3890333803811
14 36735 189.308723 62.341399 1542.7349433456347 473.15021739673284
15 36736 189.296794 62.341923 1875.0164882464305 504.20951500920455
16 36738 189.325174 62.342058 1084.5980429979754 513.315948516205
17 36761 189.309203 62.341895 1529.402943670033 502.926895410792
18 36773 189.311603 62.342256 1462.586621446666 524.671457667986
19 36783 189.331644 62.344097 904.5932063599248 635.9341990237644
20 36788 189.311848 62.342406 1455.7746053033097 533.6802463652475
21 36795 189.315319 62.342862 1359.139633308383 561.1672858195761
22 36808 189.315112 62.343741 1364.9751996954528 613.8996997574559
23 36809 189.302204 62.343109 1724.419783492207 575.5347995075153
24 36812 189.308341 62.342866 1553.4828412597344 561.157295588242
25 36813 189.281423 62.342587 2303.15713984206 543.6493142495874
26 36856 189.305744 62.343141 1625.8310268541427 577.5696526934134
27 36860 189.290016 62.343956 2063.910827522166 626.0007946071437
28 36880 189.329509 62.343621 964.0077183336216 607.2804164027893
29 36889 189.313179 62.343825 1418.815810774524 618.8685362234191
30 36890 189.320694 62.343984 1209.5372984063652 628.6943045967
31 36900 189.318366 62.343942 1274.3680528764316 626.0831810031068
32 36917 189.334526 62.344452 824.3653427769586 657.3638661746463
33 36920 189.320925 62.344072 1203.1115303779516 633.9834860720493
34 36926 189.30675 62.345007 1597.948473416187 689.5635729628866
35 36928 189.296735 62.344231 1876.8054151870892 642.688161441225
36 36936 189.29302 62.344304 1980.2708107407161 646.9622007595735
37 36968 189.326734 62.346331 1041.5381230975254 769.761930917166
38 36985 189.307958 62.344784 1564.290706974809 676.2244840363619
39 37005 189.362868 62.345734 35.21940827853177 735.7491834872653
40 37006 189.300806 62.347289 1763.6344962965977 826.2916358852617
41 37017 189.36187 62.345267 62.95417490399814 707.6716685459014
42 37018 189.279362 62.345457 2360.693132565344 715.8038844393723
43 37019 189.295337 62.345736 1915.8321150282045 732.947843833821
44 37023 189.298075 62.345386 1839.5613692505249 712.0280395907084
45 37031 189.282362 62.346352 2277.1924857447557 769.5715214892607
46 37037 189.287029 62.345864 2147.201436297255 740.4040979639376
47 37052 189.316688 62.347282 1321.372592817056 826.4194765357588
48 37053 189.282732 62.346241 2266.8833166997592 762.9200908264338
49 37060 189.311595 62.346434 1463.1306742377747 775.3518269582946
50 37065 189.278441 62.346566 2386.3927131203545 782.324154055912
51 37067 189.293402 62.346001 1969.7341835143343 748.7931185240323
52 37072 189.325721 62.346712 1069.7820095373636 792.5794216920785
53 37074 189.319921 62.346127 1231.246471766147 757.2441165706969
54 37076 189.288373 62.346699 2109.819921127797 790.5384341847948
55 37096 189.286431 62.34646 2163.886484839373 776.1492464240819
56 37102 189.28236 62.346612 2277.2611283590268 785.1715235377033
57 37135 189.339371 62.347022 689.6991229582209 811.7901750210749
58 37167 189.323558 62.347631 1130.096423684894 847.6301541667399
59 37170 189.305456 62.347838 1634.1864114839937 859.3808888120639
60 37177 189.317396 62.348581 1301.763985754511 904.3866421912662
61 37192 189.310835 62.347907 1484.4069900055492 863.7050512794285
62 37193 189.289447 62.348378 2080.006607910158 891.3066218414951
63 37204 189.307081 62.348537 1588.9871667781526 901.3753305892551
64 37206 189.300237 62.348957 1779.5899661762433 926.3543248879232
65 37214 189.323734 62.348477 1125.2700249541867 898.3974895034935
66 37217 189.312539 62.349 1437.0421813450703 929.346173889664
67 37220 189.339309 62.348375 691.5644111741722 892.967412040447
68 37233 189.32014 62.349064 1225.3968876140352 933.4732101505706
69 37237 189.288782 62.348757 2098.545125743278 914.0293760799013
70 37243 189.282103 62.349124 2284.5423877203193 935.8860730653196
71 37247 189.30887 62.349204 1539.2210848444247 941.4565632640715
72 37253 189.293975 62.349419 1953.9843350063657 953.8897971818278
73 37256 189.309517 62.349094 1521.197170423041 934.8789850158191
74 37258 189.312139 62.349429 1448.2134294902635 955.071833447897
75 37261 189.293145 62.349686 1977.111427212316 969.8866456495543
76 37269 189.34499 62.349672 533.5129266964632 971.0652427668156
77 37271 189.322002 62.349691 1173.6036517227603 971.1674194579591
78 37272 189.328779 62.349997 984.930062363901 989.8097798282488
79 37276 189.295637 62.349957 1907.739800933332 986.2172523038626
80 37279 189.295088 62.350662 1923.0697077468267 1028.5016154689492
81 37282 189.286601 62.351444 2159.4201939365685 1075.1944469042664
82 37295 189.28809 62.353262 2118.062365906664 1184.3124616861332
83 37306 189.328437 62.35082 994.5288987033264 1039.1751952106988
84 37307 189.277602 62.352188 2410.0118400629744 1119.6274350860895
85 37314 189.280038 62.351159 2342.1392888448718 1057.9398587460255
86 37316 189.294777 62.350678 1931.730042028852 1029.4527410955943
87 37319 189.366704 62.35047 -71.0 1020.1345696388762
88 37330 189.321346 62.350876 1191.9714472960895 1042.2413450742115
89 37340 189.2891 62.352859 2089.920196614199 1160.1584510644989
90 37343 189.26081 62.352634 2877.5508635858914 1146.094178192814
91 37347 189.287187 62.351498 2143.10721039487 1078.449157219542
92 37349 189.323902 62.351209 1120.8331820252797 1062.3248311972948
93 37363 189.276075 62.353196 2452.571157957169 1180.0759577420085
94 37366 189.325631 62.35187 1072.751941902754 1102.056503376638
95 37371 189.264179 62.35224 2783.738999911013 1122.5032147711372
96 37375 189.314561 62.352151 1380.9902942677727 1118.4806636157246
97 37382 189.290368 62.351979 2054.5667648503804 1107.391626341212
98 37392 189.272277 62.352093 2558.267548811853 1113.8212453852884
99 37395 189.299358 62.352114 1804.2728003407374 1115.747995437845
100 37399 189.317087 62.354119 1310.8222414515603 1236.6558501012423
101 37402 189.281456 62.353344 2302.764719898738 1189.072134524149
102 37403 189.302546 62.352562 1715.5424500281297 1142.7273420831134
103 37406 189.310109 62.353392 1505.0374630011129 1192.7804742593125
104 37411 189.262014 62.352686 2844.030996429081 1149.2311838747028
105 37413 189.270571 62.352533 2605.783545098395 1140.1899075911006
106 37421 189.321427 62.35286 1189.8867576847879 1161.2849326048145
107 37422 189.304312 62.353094 1666.4111145538718 1174.7043137838173
108 37424 189.27528 62.353214 2474.7057182084445 1181.1398588466054
