wavelength flux error
3250 0.0020363253659905008 0.0005423057548239973
3255 0.00190349660714528 0.000532666066762085
3260 0.0017025211301421549 0.0005218369029426267
3265 0.0017321763742233 0.0005201384749964258
3270 0.0018200110751653267 0.0005104056658721633
3275 0.002059790644081542 0.0005069255870176474
3280 0.0013068586780348556 0.0005032092012078066
3285 0.0018595512246495282 0.0005087906440421267
3290 0.0018111111359466758 0.0005044695484605924
3295 0.0022998861451693584 0.0004983714681280491
3300 0.0022544547552038204 0.0004923959484623851
3305 0.002308744111973175 0.0004953745985385158
3310 0.0020259629388041404 0.0004893946787277282
3315 0.0019962099075059516 0.0004850383867644333
3320 0.0016495376691451266 0.0004806238761368363
3325 0.0013561737995817329 0.0004809035683791739
3330 0.0018991353885332287 0.0004726939548924676
3335 0.0019104277140528053 0.00046742546237211807
3340 0.002388252920532725 0.00045737706522327125
3345 0.002554783847987741 0.0004487469123178387
3350 0.0020063495845077557 0.0004451393547448565
3355 0.0019246271878686572 0.00043454452287195876
3360 0.0018999765979390798 0.00042714724491008875
3365 0.0015274222406803635 0.0004256601477033572
3370 0.0019765979190399987 0.0004196029042943935
3375 0.0025228680721671734 0.0004142395294261348
3380 0.002039501335739005 0.0004112677275377433
3385 0.0017470859188752437 0.0004066395018861075
3390 0.001601868250827343 0.00040762978882640644
3395 0.0019480483546094086 0.00039945436551105045
3400 0.0021844083488722463 0.00039639699643286236
3405 0.002297770988291021 0.0003912739390740239
3410 0.002156420183234691 0.0003846824207296951
3415 0.0022477236342020317 0.00038366360505497164
3420 0.002209750362662504 0.000378945315709684
3425 0.0022977274896717292 0.00037742744262025593
3430 0.002099886002610048 0.0003709799017240118
3435 0.0018817759283726607 0.00036562386217755464
3440 0.002036514710175244 0.0003647710117157395
3445 0.0018827705170311676 0.00036428025479286034
3450 0.0022755217326837886 0.00035657949799738827
3455 0.0024769132371379966 0.00035284378062831365
3460 0.0021373367273773746 0.0003520620858671673
3465 0.002023332074067865 0.00034988481973836845
3470 0.0021365201722374693 0.0003513620540301115
3475 0.0017107137565151257 0.00034662662516382945
3480 0.0019554206341851977 0.00034521280522861823
3485 0.0020175296877715724 0.0003436659911516786
3490 0.0019086696040461423 0.0003408346459170234
3495 0.0021002287564963443 0.0003365612955059833
3500 0.0022527538203300523 0.0003355428535144017
3505 0.0021739503647041775 0.00033127661343530465
3510 0.0021849568064187274 0.00032753991471562644
3515 0.0021141116992879545 0.00032469943972351825
3520 0.0023044381489457835 0.0003228879738794574
3525 0.00212434785918288 0.000316295935807946
3530 0.002198442505991803 0.00031379414549725373
3535 0.002436465810994334 0.0003126881984437933
3540 0.0021783324756774374 0.00030732222920295356
3545 0.002760864264697611 0.0003090363069987008
3550 0.0022869481787900882 0.00030344058502922557
3555 0.002290399382027002 0.0003024819625945183
3560 0.0022240221652471558 0.00029669113520458014
3565 0.0021512864300826744 0.0002944220876092668
3570 0.002249292702436644 0.0002957055312925568
3575 0.0019848551719571796 0.0002922854472749445
3580 0.0019252830228985167 0.0002886662707556499
3585 0.001854985942280086 0.00028296839458685205
3590 0.0018150907293137165 0.0002823537679308346
3595 0.0019693706590865187 0.00027955737748639874
3600 0.0025612189232922175 0.00028292815664657754
3605 0.0024346005988324614 0.0002760148941066218
3610 0.002278247313306996 0.0002764816524385417
3615 0.0021423333145151337 0.00027290285874001453
3620 0.0019813132111209737 0.00027059347520400545
3625 0.002546795424689985 0.0002692552851474886
3630 0.0026021562107135295 0.00026604722311953516
3635 0.0023538346804403655 0.0002621781166033624
3640 0.0028876871042240546 0.000261353131483011
3645 0.002634079636903231 0.00025965544142155384
3650 0.0024870988984869165 0.0002549843172933541
3655 0.002752338111898998 0.00025673848730900316
3660 0.002978667595863834 0.0002546927559872634
3665 0.0024575279600332627 0.0002548259563738307
3670 0.002650263384389317 0.00024950975949622234
3675 0.0027054438591379445 0.00024927621927735473
3680 0.0027102381529304385 0.00024509575866295843
3685 0.002896568310276351 0.0002465460096519072
3690 0.002767247959214293 0.00024418216022486144
3695 0.002877993654823498 0.0002442410795328989
3700 0.002576695020234883 0.00024200751937862846
3705 0.002927773503269629 0.00023937510069702025
3710 0.002736781646156675 0.00023916352130181446
3715 0.0030732339784039324 0.0002363400771338471
3720 0.002935804832531334 0.00023701772186283788
3725 0.002810160779316529 0.0002351814567612027
3730 0.0029741987480598467 0.0002350984345592496
3735 0.0030420948914331534 0.0002297817242425995
3740 0.0028741095003915564 0.00023211829523634526
3745 0.00285872713748552 0.00022703525033209937
3750 0.0028279054745835985 0.00022807299400217523
3755 0.002639294722877177 0.00022575767043280512
3760 0.0027977821024909063 0.0002245211758559745
3765 0.003018367875724041 0.00022325264417848164
3770 0.002982860922020437 0.00022058586057613024
3775 0.002783058925602525 0.00022029524519890647
3780 0.0029972518803103804 0.0002168110441223798
3785 0.003328086173590437 0.0002184240173467785
3790 0.0032492749557380958 0.0002154394833820876
3795 0.003316563431701064 0.00021809822624110892
3800 0.0032036659752287403 0.0002138890237455962
3805 0.0031401569267607106 0.00021645670498571595
3810 0.00317501430417812 0.0002118411318985704
3815 0.0033191823756979363 0.00021297353105970121
3820 0.003216221339321022 0.0002106026082217893
3825 0.003113079832404226 0.00021053874808249102
3830 0.0030804952220710347 0.0002081244555354539
3835 0.002830717292091544 0.00020497395280087005
3840 0.0030057358329265544 0.0002044290683162554
3845 0.0029637989663925807 0.00020212362477993852
3850 0.003028669423745308 0.00020194731364272153
3855 0.0029122173491686588 0.00019864937762743818
3860 0.00282465799456985 0.00020196877168326873
3865 0.003102846929016563 0.00019749721516678617
3870 0.0032082880216169414 0.000198108427177468
3875 0.003450466990813045 0.00019523552710714717
3880 0.0032609772183031733 0.00019747550494871033
3885 0.0033805169176247232 0.00019582436358876436
3890 0.003210784686036042 0.00019606548370387233
3895 0.003391152211127843 0.00019489121945096206
3900 0.0032212589259728924 0.00019231478542322886
3905 0.0030955308099624365 0.0001899676196747248
3910 0.0036084247960248396 0.00018990370833806054
3915 0.003431695061799082 0.00018783793436338988
3920 0.0031744105178145806 0.0001877930938510719
3925 0.0031605344487209723 0.0001857210270266324
3930 0.003335791818203462 0.00018433008646100743
3935 0.003094248866617105 0.0001822000083535225
3940 0.0033145745530261464 0.0001794276373458526
3945 0.003361924045034883 0.00017759446265527785
3950 0.003352485599399316 0.00017625064680106516
3955 0.0032596058403250193 0.00017478185789292217
3960 0.003407003582603943 0.00017211064263902506
3965 0.0032184946356956555 0.0001715467898776103
3970 0.003413285676409705 0.0001709520880584294
3975 0.003332158380839528 0.00017050445446528027
3980 0.0034791011610352538 0.00017062230396183584
3985 0.0035334164365594086 0.00016923043227362722
3990 0.0038524275105423964 0.000167150083094131
3995 0.004098104980162464 0.00016654939496332297
4000 0.004330271180149479 0.00016500977552443382
4005 0.00449848641162937 0.0001642567748980823
4010 0.004646924320198339 0.00016329634448315774
4015 0.004967973808523105 0.00016233267015690296
4020 0.004872703373557692 0.00016147867651181686
4025 0.004749117014247421 0.00015950842501140993
4030 0.0049097336062293665 0.00015989217760390984
4035 0.004717408381725306 0.0001588623607853332
4040 0.004781390548175245 0.00015917768447625604
4045 0.004961729312213214 0.0001584718013157932
4050 0.004704779066915735 0.00015717910322563235
4055 0.0048819255285501885 0.00015604400491543258
4060 0.004862594238115139 0.00015601815525646858
4065 0.004667345782056646 0.0001563734828847066
4070 0.004881255313897079 0.00015431597621771984
4075 0.004885824537245348 0.00015382647521700147
4080 0.0047469695891131074 0.0001526564571650495
4085 0.0048994236707229745 0.00015255097049896466
4090 0.004760792414962131 0.00015060256327005598
4095 0.00462451747693764 0.00014997850975382768
4100 0.004747918266037396 0.0001490690115504961
4105 0.0047494681268540305 0.00014871090057461323
4110 0.004887125285113631 0.0001484032335862258
4115 0.004857255116630967 0.00014726003544676553
4120 0.004889544302317906 0.00014595033829659334
4125 0.004778975867171838 0.000144754707703378
4130 0.004758371039286642 0.00014463563377569601
4135 0.004547521845674483 0.0001438180271416588
4140 0.004763524517719971 0.00014470169123245147
4145 0.004797887498665097 0.00014305510042525799
4150 0.004640070752681815 0.00014352519324143702
4155 0.004895649585770183 0.00014213926260274424
4160 0.0047689953835988825 0.00014222238842341575
4165 0.004756126895299863 0.00014104335831030668
4170 0.004742046982040544 0.00014063242983439336
4175 0.004795096055782731 0.0001396938104564124
4180 0.004830344707639457 0.00013893121357505737
4185 0.004866191784780408 0.00013934871115776974
4190 0.00463960519391154 0.00013771522858195627
4195 0.004770766971929696 0.00013855756969711246
4200 0.004960172911529697 0.00013736845293126418
4205 0.004846875716071063 0.0001375943908627232
4210 0.004956824554381071 0.0001365541291630347
4215 0.005081580371077931 0.00013723838170679608
4220 0.005006320907292037 0.0001349988712042843
4225 0.004928941979012689 0.00013528241281859086
4230 0.004902257886850918 0.00013394594163254698
4235 0.00491729704366257 0.00013334304495479283
4240 0.0050159465289583765 0.0001335733358378298
4245 0.005155206358743528 0.00013289008211176182
4250 0.005030339080563407 0.0001325419692561324
4255 0.005191802193752543 0.00013257743168396393
4260 0.005122755531353777 0.00013236750329004092
4265 0.005101940480502312 0.00013043466460750062
4270 0.005177918373561653 0.0001311693279842578
4275 0.005171970596265939 0.00012937407788573917
4280 0.0051754721202548325 0.00012981514555748073
4285 0.005175803531625052 0.00012813074491900743
4290 0.005154957160390125 0.00012893223246596464
4295 0.005040563607410912 0.0001285194643473912
4300 0.005022477023100215 0.00012817311708900728
4305 0.004962671524687937 0.00012684276106664311
4310 0.005027834678215587 0.00012645467409857215
4315 0.004929993844402902 0.00012649275491711986
4320 0.005011667916927982 0.00012533891561140566
4325 0.005121947158800677 0.00012468816421522564
4330 0.005015157722570668 0.00012413729842026392
4335 0.00495825751728148 0.00012338488054788017
4340 0.004795580101891371 0.0001231149550052052
4345 0.00497796305716172 0.00012285489089442977
4350 0.004958287269147311 0.00012200608428505209
4355 0.004909088386008077 0.00012178554054171821
4360 0.005039989016040774 0.0001215852455078151
4365 0.005018208663194867 0.00012267251787992492
4370 0.004937624849290528 0.00012248368102077246
4375 0.0050186766715672616 0.00012456709935217806
4380 0.00512632361299533 0.00012563637864383974
4385 0.00512693771567273 0.00012822416133538992
4390 0.005234374210258362 0.00013030880696245363
4395 0.0053096410839745456 0.00013141878599668832
4400 0.0052562519772597575 0.0001340424722277293
4405 0.005207748446431868 0.00013509269643763249
4410 0.005288694182115058 0.00013681267245883353
4415 0.005258166032018724 0.00013676977822726563
4420 0.005265271701860137 0.00013667905595298374
4425 0.005313215766799664 0.00013714518878134117
4430 0.005489062062909511 0.0001372310440306424
4435 0.00543222315930951 0.0001363825937551644
4440 0.005344214284830647 0.00013545765621194217
4445 0.005623074322177167 0.00013605477027000203
4450 0.005815173181692686 0.00013531525958229406
4455 0.005760559781049124 0.00013517377508456528
4460 0.005655163179387068 0.0001359983634859978
4465 0.005663307089749825 0.0001353811925133618
4470 0.00557617280251892 0.00013613797702573914
4475 0.005832035870700287 0.00013520803573320342
4480 0.0057529911501234985 0.00013294804408875576
4485 0.005652578238368231 0.00013282453779779564
4490 0.005677449361486054 0.00013159524748552036
4495 0.005810262071782748 0.00013177197509217512
4500 0.005889270433442997 0.0001316065778265115
4505 0.005766290673600382 0.00013096834129318363
4510 0.005962440079947636 0.0001311407401394547
4515 0.006044858855744478 0.00013068086793993394
4520 0.005850442577671406 0.0001286799757251534
4525 0.005913182578917645 0.00012698808601561268
4530 0.005763416727927719 0.00012629961040675066
4535 0.005925681484999157 0.00012632715650025075
4540 0.0060915051318458265 0.00012569064156355166
4545 0.006051871432572863 0.0001251366880368672
4550 0.005889085291481369 0.0001236897508931126
4555 0.005999119917522118 0.00012456818797489135
4560 0.005924848880635765 0.0001228268201359478
4565 0.005929597345316408 0.0001230257333529313
4570 0.005948773324326279 0.00012311124945517507
4575 0.005846949688770856 0.00012311705809540065
4580 0.005807152531262494 0.00012244297164863493
4585 0.0059156612328121515 0.00012134229109114695
4590 0.006064064443843752 0.00012176406239100092
4595 0.006039411871778174 0.00011990478959259649
4600 0.006056737272620404 0.0001200453734854345
4605 0.0060411518361709405 0.00011890479018961869
4610 0.006009751547511956 0.00011890603777971535
4615 0.005953576565011732 0.0001187216207678982
4620 0.00599950351795818 0.00011844485833601817
4625 0.005953212031629245 0.00011783064567842943
4630 0.005905436158720392 0.00011759374946294407
4635 0.005814405258966487 0.00011695536050813224
4640 0.005906504876115625 0.00011558506398202523
4645 0.0061293091304318904 0.00011556269904234097
4650 0.006196144582027718 0.00011583092303959359
4655 0.006239000381960344 0.00011472339861233308
4660 0.0060844950126109475 0.00011423349849055653
4665 0.006087665063814052 0.00011382575136302329
4670 0.0062059971504779135 0.00011276524741578532
4675 0.006196265123487255 0.00011309044189055962
4680 0.006074890266938868 0.00011265851445677357
4685 0.006042038192632653 0.00011266686982441755
4690 0.006033302103062416 0.00011283500566627199
4695 0.0061311039949722285 0.0001119977585925907
4700 0.006053179183141449 0.00011256113309396994
4705 0.006008532537706974 0.00011060132990405489
4710 0.0060356825941560235 0.00011103888687983473
4715 0.006209492611123071 0.00010991202667992751
4720 0.006202738734895129 0.00011178647670967822
4725 0.006209602184214311 0.00010981818049815768
4730 0.0062859983200512 0.0001094468037500388
4735 0.006236782757994242 0.0001094851328956848
4740 0.006321254992265845 0.0001078848340822565
4745 0.0061551612844047065 0.00010839177387084589
4750 0.006148716160552344 0.00010751025887722931
4755 0.006071026662662156 0.00010776307179425033
4760 0.006219164683603055 0.0001065147995110926
4765 0.006162722189902465 0.00010626621858727074
4770 0.006165684320257214 0.00010589241009016687
4775 0.006223037769926116 0.00010598727311486582
4780 0.006288189159807194 0.0001054590612314073
4785 0.006255263105547247 0.00010580383774520643
4790 0.006234710027715702 0.00010452429202816386
4795 0.00615814374254365 0.00010399667005793977
4800 0.006223476849571293 0.00010360041949688486
4805 0.00617989572722609 0.00010303250323360673
4810 0.006221636062851608 0.00010319257110496194
4815 0.006162199668782117 0.00010244462788321907
4820 0.006049386092448163 0.0001028498072208815
4825 0.006171338227452564 0.00010185028998448923
4830 0.0063475737728465225 0.00010275082537684062
4835 0.006110659806556435 0.00010142180516822811
4840 0.006086988635011929 9.965846075262574e-05
4845 0.0061037606132528805 0.00010114064831537637
4850 0.0060526281480181065 0.00010011815303669656
4855 0.006045243543171268 0.0001007111659230101
4860 0.006046396723128097 9.935791237674607e-05
4865 0.006036990906909456 9.95726824742907e-05
4870 0.006003870457506726 0.00010021285923248706
4875 0.005971468758421573 9.923767484608765e-05
4880 0.00587518901417314 9.851874133154328e-05
4885 0.005946009202077081 9.872396363092985e-05
4890 0.0058679857080972935 9.956279510673454e-05
4895 0.005774374435048935 9.78095983808404e-05
4900 0.0059650883512023575 9.867871649921347e-05
4905 0.005925645939393449 9.725228477465363e-05
4910 0.006066746938259169 9.840374710386862e-05
4915 0.006096223168382892 9.753294387995724e-05
4920 0.005942025884021604 9.691591001498275e-05
4925 0.005869654942815799 9.689903861019903e-05
4930 0.005963277775673137 9.840472412501761e-05
4935 0.005994902331348989 9.73367756996591e-05
4940 0.005975450024127491 9.683270883396372e-05
4945 0.005864493116390552 9.647119092942196e-05
4950 0.0058779113779504405 9.59563830579399e-05
4955 0.005929041928435939 9.605094476671684e-05
4960 0.005852269033733409 9.669068517552236e-05
4965 0.0060686918937574025 9.687625336433445e-05
4970 0.006015392166987207 9.655227494859355e-05
4975 0.006011277342978591 9.617915377997759e-05
4980 0.00601966364366702 9.544946210579624e-05
4985 0.006001204254428964 9.657980719960803e-05
4990 0.006052165504712973 9.594289874050835e-05
4995 0.005954543910144274 9.594459085241509e-05
5000 0.005961003651873679 9.549156797875023e-05
5005 0.005836074584458977 9.537016354919376e-05
5010 0.005794570774508873 9.543141973614215e-05
5015 0.005873874393210093 9.478346886061376e-05
5020 0.005841229587841047 9.550376508581516e-05
5025 0.005873797660650095 9.408521439882335e-05
5030 0.005920631549748939 9.506181015679487e-05
5035 0.005980337104707479 9.437383792787113e-05
5040 0.005940098503005523 9.509477272741045e-05
5045 0.005905519509779663 9.573115695441867e-05
5050 0.0058997393653885755 9.406536041834979e-05
5055 0.005732386962110022 9.478207842517575e-05
