nan 2.1049 2.0055 1.9045 1.8157 1.7314 1.6611 1.6 1.5578 1.5174 1.4791 1.4503 1.4231 1.4038 1.3796 1.3625 1.3517 1.3361 1.3214 1.3121 1.3032 1.2946 1.2863 1.2784 1.2708 1.2636 1.26 1.2532 1.2467 1.2435 1.2374
nan 2.2049 2.1055 2.0041 1.914 1.8274 1.7541 1.6899 1.6452 1.6022 1.5613 1.5303 1.5011 1.4803 1.4541 1.4356 1.4238 1.407 1.391 1.3809 1.3712 1.3618 1.3529 1.3443 1.336 1.3281 1.3243 1.3168 1.3097 1.3063 1.2996
nan 2.3049 2.2054 2.1038 2.0127 1.9239 1.848 1.7808 1.7336 1.688 1.6444 1.6114 1.58 1.5577 1.5295 1.5096 1.4969 1.4787 1.4614 1.4505 1.44 1.4298 1.4201 1.4108 1.4018 1.3932 1.3891 1.381 1.3733 1.3695 1.3623
nan 2.4049 2.3054 2.2036 2.1116 2.021 1.9425 1.8724 1.8229 1.7747 1.7286 1.6934 1.6599 1.636 1.6058 1.5844 1.5708 1.5511 1.5326 1.5208 1.5094 1.4985 1.488 1.478 1.4683 1.459 1.4545 1.4458 1.4374 1.4334 1.4255
nan 2.5049 2.4054 2.3035 2.2107 2.1184 2.0377 1.9648 1.913 1.8624 1.8136 1.7763 1.7407 1.7152 1.683 1.6601 1.6454 1.6244 1.6045 1.5919 1.5797 1.5679 1.5566 1.5458 1.5354 1.5254 1.5205 1.5111 1.5021 1.4977 1.4893
nan 2.6049 2.5054 2.4033 2.3099 2.2162 2.1333 2.058 2.004 1.9509 1.8995 1.8601 1.8223 1.7953 1.761 1.7366 1.721 1.6985 1.6772 1.6636 1.6506 1.638 1.6259 1.6142 1.6031 1.5923 1.5871 1.577 1.5673 1.5626 1.5535
nan 2.7049 2.6054 2.5032 2.4093 2.3143 2.2295 2.1517 2.0956 2.0402 1.9863 1.9447 1.9049 1.8762 1.8398 1.8139 1.7973 1.7733 1.7506 1.7361 1.7222 1.7087 1.6958 1.6833 1.6714 1.6599 1.6543 1.6435 1.6331 1.6281 1.6183
nan 2.8049 2.7054 2.6032 2.5089 2.4127 2.3262 2.2461 2.188 2.1303 2.0739 2.0302 1.9882 1.958 1.9195 1.892 1.8743 1.8489 1.8248 1.8093 1.7945 1.7801 1.7663 1.7531 1.7403 1.728 1.722 1.7105 1.6994 1.694 1.6836
nan 2.9049 2.8054 2.7031 2.6085 2.5114 2.4232 2.341 2.281 2.221 2.1622 2.1165 2.0724 2.0405 1.9999 1.9708 1.9522 1.9252 1.8996 1.8832 1.8674 1.8522 1.8375 1.8234 1.8098 1.7967 1.7904 1.778 1.7662 1.7605 1.7494
nan 3.0049 2.9054 2.8031 2.7082 2.6102 2.5206 2.4364 2.3745 2.3125 2.2512 2.2035 2.1573 2.1239 2.0811 2.0505 2.0307 2.0023 1.9752 1.9578 1.9411 1.9249 1.9094 1.8943 1.8799 1.866 1.8593 1.8462 1.8336 1.8275 1.8156
nan 3.1049 3.0054 2.9031 2.8079 2.7092 2.6183 2.5323 2.4687 2.4045 2.341 2.2912 2.243 2.2079 2.163 2.1308 2.1101 2.08 2.0514 2.0331 2.0154 1.9983 1.9818 1.9659 1.9506 1.9359 1.9287 1.9148 1.9015 1.895 1.8824
nan 3.2049 3.1054 3.003 2.9077 2.8084 2.7163 2.6285 2.5633 2.4972 2.4314 2.3797 2.3293 2.2927 2.2457 2.2119 2.1901 2.1585 2.1283 2.109 2.0904 2.0723 2.0549 2.0381 2.0219 2.0063 1.9987 1.984 1.9699 1.963 1.9497
nan 3.3049 3.2054 3.103 3.0075 2.9076 2.8145 2.7252 2.6584 2.5904 2.5224 2.4688 2.4164 2.3782 2.3291 2.2936 2.2708 2.2376 2.2059 2.1856 2.1659 2.1469 2.1286 2.1108 2.0937 2.0773 2.0693 2.0537 2.0388 2.0315 2.0174
