Wavelength F_lambda Error
4400 0.005274792341224684 0.00014178424467287752
4410 0.005538507567783931 0.00013943715885934355
4420 0.005473559740944677 0.00013725408347449594
4430 0.0055380062525455555 0.0001360457804511803
4440 0.005582904971613607 0.00013678614595274762
4450 0.005688363598685358 0.0001363052009237143
4460 0.005750891873053845 0.00013419374176509857
4470 0.00589753515589863 0.00013346562682400908
4480 0.005709733468200021 0.00013387271097819046
4490 0.005875038558053017 0.00013322803086547122
4500 0.0060745857685246965 0.00013069428121979291
4510 0.00602806379363529 0.00012974261177798953
4520 0.006160885990197309 0.00012810503415773317
4530 0.006035021658709762 0.0001262641880868518
4540 0.005985135093516763 0.00012604415505950372
4550 0.005875013755343886 0.00012509353012075594
4560 0.005920911238730835 0.000124873949771144
4570 0.006218416245292826 0.0001236699390201029
4580 0.006184263648999136 0.00012230818454100496
4590 0.006055048306188535 0.00012137327636410663
4600 0.006133217624089579 0.00012118548632936763
4610 0.0061308130020728486 0.00011931801777869234
4620 0.00614675448470661 0.0001185904878297134
4630 0.00628488181435691 0.00011870501095086316
4640 0.006190077632267776 0.00011799605622729548
4650 0.006247487647858099 0.00011700720850388834
4660 0.005968930910017776 0.00011632034095653899
4670 0.006166066034804284 0.0001154241373539028
4680 0.006042563835843469 0.00011507276557191147
4690 0.006019396472996365 0.00011489381645858818
4700 0.006100327505867483 0.00011627416009223563
4710 0.006042112805042791 0.00011417527541044283
4720 0.006312281087753459 0.00011317697136107988
4730 0.006046257568432878 0.00011338593825288002
4740 0.00621183262172441 0.00011222516723401817
4750 0.0062756654045066935 0.00011196637253400674
4760 0.006115213363189943 0.00011251004030236844
4770 0.006083028848666711 0.0001105583011569689
4780 0.006190295359254228 0.00010998790713807625
4790 0.006206725072705767 0.00010893392543371715
4800 0.006342904797539052 0.00010903960702941518
4810 0.006277134184540614 0.00010798597518835053
4820 0.006094501427398986 0.00010739954601402708
4830 0.006077612103005322 0.00010686944898933856
4840 0.00607674697951121 0.00010644662564949249
4850 0.0058257511319144565 0.00010593458806433501
4860 0.0059726106059430715 0.00010572731472623009
4870 0.006003638022238672 0.00010708142943201997
4880 0.006018517394968431 0.00010594449520508462
4890 0.006195706633182787 0.00010493990902184363
4900 0.006107623206871315 0.00010443105315431334
4910 0.006055307651010285 0.00010577330423225804
4920 0.006144936332414471 0.00010396694748578509
4930 0.006167176255859034 0.00010341623114277822
4940 0.006227054088806001 0.0001030448737695177
4950 0.006144539277942136 0.0001235836787561713
4960 0.006142394003582418 0.00012202128052229306
4970 0.0060914927557421845 0.00011967909198359785
4980 0.006167336603531234 0.00011943866450931936
4990 0.006214389645524286 0.00011963784541299854
5000 0.00595534829011255 0.00011997498715418108
5010 0.005790470152056143 0.00011783512649609872
5020 0.006082251919596128 0.00014398441124285202
5030 0.006011028370097115 0.00014378447570969493
5040 0.006036181038136897 0.00014133515949990946
5050 0.006082672170334245 0.000139187463040684
5060 0.0061312194837929495 0.00014047551447029236
5070 0.006173309537589071 0.00014035027689255638
5080 0.005948850510194767 0.00013928950197623943
5090 0.0060338823178753805 0.00014018348942649228
5100 0.006285001554686757 0.00013836480471741782
5110 0.0062062497620011545 0.00013630183344597838
5120 0.005984587470085122 0.00013662163405784707
5130 0.0060338161347752335 0.00013646040499907294
5140 0.0059234395973923205 0.00013733799612363395
5150 0.006128812385409049 0.00013876238898115215
5160 0.005674242912175479 0.00013459248613445938
5170 0.00558927265512018 0.00013360712696159407
5180 0.0055980677804422846 0.00013432271152241044
5190 0.005794137462395731 0.00013508809813917827
5200 0.005800886950214579 0.00013625435569008035
5210 0.006035669690773542 0.0001354247853134321
5220 0.006007831389373031 0.00013388258776886785
5230 0.006125820071646702 0.00013458221124799266
5240 0.006050478754456961 0.0001322129739417304
5250 0.006056502697181587 0.00013393904125961957
5260 0.006420498478541876 0.00013696156398110501
5270 0.006145179375083269 0.00015328186602415594
5280 0.006140861894637722 0.00015111310048141074
5290 0.006491953300917679 0.00014971184712996632
5300 0.006415015911870575 0.0001505632127520547
5310 0.006627172073115048 0.00015187944798333633
5320 0.0066232556120506035 0.00015094461071267333
5330 0.006285312225043032 0.000153948692302152
5340 0.0066642900100164675 0.00015083795101505695
