nan 4.2546 3.5453 3.0744 2.8433 2.6932 2.6001 2.5527 2.5044 2.4628 2.4418 2.4226 2.4008 2.3851 2.3742
nan 4.3546 3.6428 3.1605 2.921 2.7647 2.6676 2.618 2.5675 2.5241 2.5021 2.482 2.4592 2.4428 2.4314
nan 4.4546 3.7405 3.2473 2.9993 2.8367 2.7355 2.6837 2.631 2.5857 2.5627 2.5417 2.5179 2.5007 2.4887
nan 4.5546 3.8384 3.3345 3.0781 2.9092 2.8038 2.7498 2.6949 2.6475 2.6235 2.6016 2.5767 2.5588 2.5463
nan 4.6546 3.9365 3.4222 3.1573 2.982 2.8724 2.8162 2.7589 2.7096 2.6846 2.6617 2.6357 2.617 2.604
nan 4.7546 4.0347 3.5103 3.237 3.0553 2.9413 2.8829 2.8233 2.7719 2.7458 2.7219 2.6949 2.6754 2.6618
nan 4.8546 4.1332 3.599 3.3173 3.129 3.0107 2.95 2.888 2.8345 2.8073 2.7825 2.7543 2.734 2.7199
nan 4.9546 4.2317 3.6881 3.398 3.2032 3.0804 3.0174 2.9529 2.8973 2.8691 2.8432 2.8139 2.7927 2.778
nan 5.0546 4.3304 3.7775 3.479 3.2776 3.1504 3.085 3.0181 2.9603 2.931 2.9041 2.8737 2.8516 2.8364
nan 5.1546 4.4292 3.8675 3.5607 3.3526 3.2209 3.1531 3.0836 3.0236 2.9932 2.9653 2.9337 2.9108 2.8949
nan 5.2546 4.5281 3.9578 3.6428 3.428 3.2917 3.2214 3.1494 3.0872 3.0556 3.0266 2.9938 2.9701 2.9536
nan 5.3546 4.6271 4.0485 3.7252 3.5037 3.3628 3.29 3.2155 3.151 3.1182 3.0882 3.0541 3.0295 3.0124
nan 5.4546 4.7262 4.1395 3.8081 3.5799 3.4343 3.359 3.2818 3.215 3.1811 3.1499 3.1147 3.0891 3.0714
nan 5.5546 4.8254 4.231 3.8915 3.6565 3.5061 3.4283 3.3485 3.2793 3.2442 3.212 3.1754 3.1489 3.1306
nan 5.6546 4.9247 4.3228 3.9752 3.7334 3.5783 3.4979 3.4154 3.3439 3.3075 3.2741 3.2363 3.2089 3.1899
nan 5.7546 5.024 4.4148 4.0593 3.8106 3.6507 3.5678 3.4825 3.4086 3.371 3.3365 3.2974 3.269 3.2493
nan 5.8546 5.1234 4.5073 4.1439 3.8884 3.7237 3.6381 3.55 3.4737 3.4348 3.3991 3.3587 3.3293 3.309
nan 5.9546 5.2228 4.6001 4.2288 3.9665 3.7969 3.7086 3.6178 3.539 3.4988 3.462 3.4201 3.3898 3.3688
