Filename Metallcity Z- Z+ Age A- A+ Redshift z- z+ metal_max age_max z_max
../extractions_quiescent_mar17/GS1-G102_44620.1D.fits 0.025170505438179072 -0.016470505438179073 0.01682949456182093 2.6490300791955885 -1.5196513216805585 1.7603887584797624 1.0766785025443664 -0.030586318175628957 0.035545946353429114 62.0 2.0 1.06
../extractions_quiescent_mar17/GS1-G102_47677.1D.fits 0.023271512666576375 -0.016171512666576376 0.017728487333423627 2.5343133937344544 -1.6131911492454765 1.8751054439408965 1.093026945695689 -0.040922737278855204 0.0412415913784594 42.0 1.4 1.1
../extractions_quiescent_mar17/GS1-G102_47691.1D.fits 0.018322595140589593 -0.014422595140589592 0.01907740485941041 2.333511004260602 -1.7247735293107023 2.3101964105690573 1.1131968838265083 -0.0290285471531615 0.031091693327800263 32.0 0.06 1.12
../extractions_quiescent_mar17/GS2-G102_44824.1D.fits 0.025363074936166748 -0.016563074936166745 0.016736925063833258 2.5963183939966283 -1.4929717006098548 1.7350042512939527 1.6085220012995896 -0.03938372474648344 0.040776595894799206 62.0 2.0 1.6099999999999999
../extractions_quiescent_mar17/GS2-G102_45972.1D.fits 0.017639799512434707 -0.013639799512434707 0.018860200487565298 2.8319873993892335 -1.832768962515486 2.514585746903352 1.041741413945768 -0.019697325769415297 0.020382834551226026 32.0 0.06 1.04
../extractions_quiescent_mar17/GS2-G102_46846.1D.fits 0.0167980769856549 -0.011298076985654899 0.018101923014345107 3.4315995733615647 -1.7295154050248913 2.5397431120091767 1.0510969557629264 -0.021036835522445507 0.023051340830259948 42.0 2.0 1.04
../extractions_quiescent_mar17/GS2-G102_48631.1D.fits 0.01744492915474759 -0.01464492915474759 0.019355070845252415 1.591612885962222 -1.4514525653209396 2.0628760919936893 1.09760208467975 -0.06152994039117288 0.060714548586783046 22.0 0.03 1.09
../extractions_quiescent_mar17/GS3-G102_35774.1D.fits 0.023881109140399946 -0.015481109140399947 0.01731889085960006 2.828523767462761 -1.5689846893064483 1.8932798397516675 1.226152714115899 -0.023747904496660643 0.02635229590414112 52.0 1.4 1.22
../extractions_quiescent_mar17/GS3-G102_36095.1D.fits 0.023119643352620525 -0.016219643352620525 0.01778035664737948 2.4669368853125495 -1.6499428973365977 1.890417824106288 1.944478524614653 -0.03465888533609607 0.03748540324105831 32.0 0.14 1.96
../extractions_quiescent_mar17/GS3-G102_38785.1D.fits 0.02118728718122778 -0.015087287181227777 0.01831271281877223 2.665156317373852 -1.6659378805001046 2.03061522571232 1.1762342196771294 -0.033949650538852794 0.03619063002226941 42.0 1.4 1.18
../extractions_quiescent_mar17/GS3-G102_39804.1D.fits 0.02461996183195437 -0.016319961831954367 0.01708003816804564 2.5824815583232446 -1.5051669290647274 1.7488410869673365 1.3624074302423659 -0.03375011561310748 0.036390164948014725 52.0 2.0 1.3599999999999999
../extractions_quiescent_mar17/GS3-G102_39805.1D.fits 0.023030890811760116 -0.016130890811760116 0.01786910918823989 2.491283666814878 -1.6222255505824132 1.8921031067322156 1.1576308760870857 -0.03137837107706565 0.03274988543596047 32.0 1.4 1.16
../extractions_quiescent_mar17/GS3-G102_39825.1D.fits 0.02371087378240527 -0.01641087378240527 0.017589126217594734 2.4695261502598203 -1.6525321622838685 1.8878285591590171 1.0747654429105922 -0.05071734671820738 0.05749908614752397 32.0 1.4 1.06
../extractions_quiescent_mar17/GS3-G102_40597.1D.fits 0.02188871868214398 -0.014388718682143982 0.01791128131785602 3.005818678736692 -1.5640551516825836 1.9763055697603025 1.2301477476710128 -0.021730914003678103 0.024361270365059307 52.0 1.4 1.23
../extractions_quiescent_mar17/GS3-G102_41520.1D.fits 0.02718087725840359 -0.01708087725840359 0.015819122741596414 2.6356807475045505 -1.480269925861264 1.721673961914287 1.6330374932101928 -0.037847112448669895 0.04030920017658057 72.0 3.0 1.63
../extractions_quiescent_mar17/GS3-G102_42113.1D.fits 0.027467501275526947 -0.016667501275526946 0.01563249872447306 2.653073045630369 -1.4195660316023127 1.6782495996602123 1.641512170018292 -0.042313773224704754 0.045862579480705934 72.0 3.0 1.63
../extractions_quiescent_mar17/GS5-G102_38513.1D.fits 0.02293868474353996 -0.015838684743539957 0.017861315256460043 2.5930822106103375 -1.5678317096083334 1.8423686911932697 1.2657698204450507 -0.029296874553267127 0.030823365927694635 42.0 1.4 1.27
../extractions_quiescent_mar17/GS5-G102_39825.1D.fits 0.02184149535034785 -0.015841495350347852 0.018258504649652153 2.2914982907144448 -1.7608570081493145 2.0398243545761363 1.0725685075873956 -0.05052441941104302 0.055688005438656374 22.0 0.04 1.05
../extractions_quiescent_mar17/GS5-G102_40223.1D.fits 0.024596789879183345 -0.016696789879183344 0.01720321012081666 2.496893272859888 -1.6278351566274232 1.834429372430693 1.6497565588146288 -0.04454613797294549 0.04763823076452933 42.0 1.4 1.65
../extractions_quiescent_mar17/GS5-G102_40476.1D.fits 0.022488620453080733 -0.015488620453080732 0.017911379546919272 2.80909403844578 -1.6536832168024933 2.0168378252816748 1.1955343222623738 -0.025193640899648262 0.026910567517185235 42.0 1.4 1.2
../extractions_quiescent_mar17/GS5-G102_40623.1D.fits 0.02507213548628721 -0.01667213548628721 0.016927864513712792 2.553718417736344 -1.5544999808625966 1.777604227554237 1.4910312613065866 -0.09423767413223794 0.09814709540684019 62.0 2.0 1.48
../extractions_quiescent_mar17/GS5-G102_41148.1D.fits 0.02566327710242928 -0.016863277102429276 0.016636722897570726 2.5687189041693355 -1.569500467295588 1.788635805249502 1.6926715583565324 -0.08144911346675299 0.08287954384787621 72.0 3.0 1.69
