wavelength Flam error
6786.872124747605 nan nan
6811.062336531227 nan nan
6835.252548314847 nan nan
6859.442760098469 nan nan
6883.632971882091 nan nan
6907.823183665712 nan nan
6932.013395449334 nan nan
6956.203607232956 nan nan
6980.393819016577 nan nan
7004.584030800199 nan nan
7028.77424258382 nan nan
7052.964454367441 nan nan
7077.154666151063 nan nan
7101.3448779346845 nan nan
7125.535089718306 nan nan
7149.725301501927 nan nan
7173.9155132855485 nan nan
7198.10572506917 nan nan
7222.295936852792 nan nan
7246.486148636413 nan nan
7270.676360420035 nan nan
7294.866572203657 nan nan
7319.056783987278 nan nan
7343.2469957709 nan nan
7367.437207554521 nan nan
7391.627419338142 inf inf
7415.817631121764 inf inf
7440.007842905386 inf inf
7464.198054689007 0.1572785644781722 0.001572785644781722
7488.388266472628 0.22280855585944692 0.002228085558594469
7512.57847825625 0.25048041290217765 0.0025048041290217766
7536.768690039871 0.29368795638611456 0.0029368795638611456
7560.958901823493 0.29746514337367425 0.0029746514337367423
7585.1491136071145 0.2840383412697152 0.002840383412697152
7609.339325390736 0.2902001735572407 0.002902001735572407
7633.529537174358 0.3142232530967337 0.003142232530967337
7657.719748957979 0.3314298830820368 0.003314298830820368
7681.9099607416 0.32109287013467475 0.0032109287013467477
7706.100172525222 0.30343376277380807 0.0030343376277380805
7730.290384308843 0.29333770795260555 0.0029333770795260555
7754.480596092465 0.2939351245522676 0.002939351245522676
7778.670807876087 0.29869782225478825 0.0029869782225478824
7802.861019659707 0.28926019986698154 0.0028926019986698155
7827.051231443329 0.2788480360896762 0.0027884803608967616
7851.241443226951 0.2714084361013784 0.002714084361013784
7875.431655010572 0.27401790643864343 0.0027401790643864343
7899.621866794194 0.2811680244918912 0.002811680244918912
7923.812078577816 0.2847765116968579 0.0028477651169685793
7948.002290361437 0.2875061506645883 0.0028750615066458827
7972.192502145059 0.2724330346064682 0.002724330346064682
7996.3827139286805 0.2617854326525924 0.002617854326525924
8020.572925712301 0.2514537409045478 0.002514537409045478
8044.763137495923 0.24142398200026569 0.002414239820002657
8068.953349279544 0.24466138768723725 0.0024466138768723723
8093.143561063166 0.2536881921547834 0.002536881921547834
8117.333772846787 0.26157782048029943 0.0026157782048029945
8141.523984630408 0.2824603402234102 0.002824603402234102
8165.71419641403 0.3005395182862794 0.003005395182862794
8189.904408197652 0.31062385646852186 0.0031062385646852186
8214.094619981273 0.308514604142265 0.00308514604142265
8238.284831764895 0.30741444924572103 0.0030741444924572104
8262.475043548517 0.29442922252659204 0.0029442922252659203
8286.665255332138 0.3031572401639503 0.003031572401639503
8310.85546711576 0.3219530370467253 0.0032195303704672528
8335.045678899382 0.33663519600088865 0.0033663519600088867
8359.235890683003 0.39108973056714363 0.003910897305671436
8383.426102466625 0.43995214256311577 0.004399521425631158
8407.616314250245 0.4670697818442974 0.0046706978184429745
8431.806526033866 0.49572978115851096 0.004957297811585109
8455.996737817488 0.5116515911711478 0.0051165159117114774
8480.18694960111 0.5095897353365467 0.005095897353365467
8504.377161384731 0.5121333326989665 0.005121333326989666
8528.567373168353 0.5153697093022414 0.005153697093022413
8552.757584951974 0.5131325440043969 0.005131325440043969
8576.947796735596 0.5206087295436833 0.005206087295436833
8601.138008519218 0.5274808040082511 0.005274808040082512
8625.32822030284 0.5231679520519644 0.005231679520519644
8649.518432086461 0.5342088862881833 0.005342088862881833
8673.708643870083 0.527288002510091 0.00527288002510091
8697.898855653704 0.5195503364350611 0.005195503364350611
8722.089067437326 0.5138015714563814 0.005138015714563814
8746.279279220948 0.513346130813695 0.00513346130813695
8770.46949100457 0.5135763860721891 0.005135763860721891
8794.659702788189 0.5273168831844848 0.005273168831844848
8818.84991457181 0.536683651794745 0.0053668365179474495
8843.040126355432 0.5467183401900896 0.005467183401900896
8867.230338139054 0.5576351739596903 0.005576351739596903
8891.420549922675 0.5633004865716625 0.005633004865716626
8915.610761706297 0.5813545884351154 0.005813545884351155
8939.800973489919 0.5782005610472108 0.005782005610472108
8963.99118527354 0.5745485871549267 0.0057454858715492675
8988.181397057162 0.557092362690911 0.00557092362690911
9012.371608840784 0.5605605815252528 0.005605605815252528
9036.561820624403 0.5729071440948971 0.0057290714409489706
9060.752032408025 0.5986858756956941 0.005986858756956941
9084.942244191647 0.6420256395831572 0.006420256395831572
9109.132455975268 0.6600868864247321 0.0066008688642473215
9133.32266775889 0.6802871613573894 0.006802871613573894
9157.512879542512 0.6984227284988656 0.006984227284988656
9181.703091326133 0.6978843119798275 0.006978843119798275
9205.893303109755 0.6922882429530723 0.0069228824295307235
9230.083514893377 0.7025438243322721 0.0070254382433227215
9254.273726676998 0.7169487407841003 0.007169487407841003
9278.46393846062 0.7295458783863072 0.007295458783863073
9302.654150244241 0.7475092880202826 0.0074750928802028264
9326.844362027863 0.7665091540955248 0.007665091540955248
9351.034573811485 0.7920823516864821 0.00792082351686482
9375.224785595106 0.8085734731077224 0.008085734731077224
9399.414997378728 0.8451522203585314 0.008451522203585315
9423.605209162348 0.8663321750733985 0.008663321750733985
9447.79542094597 0.8724905767323914 0.008724905767323914
9471.985632729591 0.878230534483652 0.00878230534483652
9496.175844513213 0.851234816298745 0.00851234816298745
9520.366056296834 0.8399464593390125 0.008399464593390124
9544.556268080456 0.8483864669700225 0.008483864669700225
9568.746479864078 0.8691093907616405 0.008691093907616404
9592.9366916477 0.9054837098844355 0.009054837098844354
9617.12690343132 0.9211106583325764 0.009211106583325765
9641.317115214943 0.956178912953261 0.00956178912953261
9665.507326998564 0.9859857944223998 0.009859857944223997
9689.697538782184 1.0 0.01
9713.887750565806 1.003355167717494 0.01003355167717494
9738.077962349427 1.001866249176126 0.010018662491761261
9762.268174133049 0.9983105746874815 0.009983105746874815
9786.45838591667 1.0030146832949514 0.010030146832949513
9810.648597700292 0.9985530655646677 0.009985530655646677
9834.838809483914 1.0095215831922646 0.010095215831922646
9859.029021267535 1.0198262236970914 0.010198262236970915
9883.219233051157 1.0297406699147662 0.010297406699147662
9907.409444834779 1.0453051446966772 0.010453051446966772
9931.5996566184 1.0600222198794396 0.010600222198794395
9955.789868402022 1.0620423428495878 0.010620423428495878
9979.980080185644 1.0705425539296933 0.010705425539296933
10004.170291969265 1.0661616538753969 0.010661616538753969
10028.360503752887 1.073242902768206 0.01073242902768206
10052.550715536509 1.0883662867730635 0.010883662867730634
10076.740927320128 1.101893065975044 0.011018930659750441
10100.931139103752 1.1163457383452249 0.011163457383452249
10125.121350887372 1.1250056709164689 0.011250056709164688
10149.311562670993 1.1096949866937067 0.011096949866937067
10173.501774454615 1.096612749887527 0.010966127498875272
10197.691986238236 1.0856928655721076 0.010856928655721076
10221.882198021858 1.0780279358737095 0.010780279358737094
10246.07240980548 1.1005349289226989 0.011005349289226989
10270.262621589101 1.1117379875039428 0.011117379875039428
10294.452833372721 1.1360556324503543 0.011360556324503543
10318.643045156345 1.1564116634772648 0.011564116634772647
10342.833256939964 1.1760063606937694 0.011760063606937694
10367.023468723586 1.198955889776897 0.011989558897768971
10391.213680507208 1.1995824819658265 0.011995824819658265
10415.40389229083 1.201051029417076 0.01201051029417076
10439.594104074451 1.1939632612349442 0.011939632612349442
10463.784315858073 1.1811075111514617 0.011811075111514618
10487.974527641694 1.1668101019041845 0.011668101019041845
10512.164739425316 1.1594185871925073 0.011594185871925074
10536.354951208938 1.134214532026506 0.01134214532026506
10560.54516299256 1.130912087404722 0.01130912087404722
10584.73537477618 1.1371531122179648 0.011371531122179647
10608.925586559802 1.1304236580718787 0.011304236580718788
10633.115798343424 1.206208248304872 0.012062082483048719
10657.306010127046 1.1912050937728595 0.011912050937728595
10681.496221910667 1.221165536538033 0.01221165536538033
10705.686433694289 1.2568652222514625 0.012568652222514624
10729.876645477909 1.2503849879842863 0.012503849879842863
10754.066857261532 1.263163365448092 0.01263163365448092
10778.257069045154 1.2503857664186984 0.012503857664186983
10802.447280828774 1.2373436283376382 0.012373436283376383
10826.637492612395 1.2081470480097574 0.012081470480097573
10850.827704396017 1.1986433184737795 0.011986433184737794
10875.017916179639 1.1806061732408035 0.011806061732408035
10899.208127963258 1.2195008797617326 0.012195008797617327
10923.398339746882 1.2528774376921517 0.012528774376921516
10947.588551530502 1.2864782498439926 0.012864782498439926
10971.778763314123 1.3544808184774044 0.013544808184774043
10995.968975097745 1.3694180008222359 0.013694180008222359
11020.159186881367 1.3988061577490298 0.013988061577490298
11044.349398664988 1.411317154793455 0.014113171547934551
11068.53961044861 1.4301642983540368 0.014301642983540369
11092.729822232232 1.4826772068279213 0.014826772068279212
11116.920034015853 1.5089853275148792 0.015089853275148793
11141.110245799475 1.5290544222382243 0.015290544222382242
11165.300457583096 1.5690237605681883 0.015690237605681882
11189.490669366718 1.5715920583734968 0.015715920583734968
11213.68088115034 1.5930860935113562 0.01593086093511356
11237.871092933961 1.6070361486249516 0.016070361486249515
11262.061304717583 1.6207370310806606 0.016207370310806605
11286.251516501205 1.6092920961911368 0.016092920961911367
11310.441728284826 1.6186798803724587 0.016186798803724586
11334.631940068448 1.5862732139438125 0.015862732139438125
11358.82215185207 1.5730514229007082 0.01573051422900708
11383.012363635691 1.5926811716297051 0.015926811716297052
11407.202575419313 1.6213449659340773 0.016213449659340774
11431.392787202934 1.708636042162235 0.01708636042162235
11455.582998986554 1.8206242860219513 0.01820624286021951
11479.773210770176 1.9444611374636607 0.019444611374636607
11503.963422553797 1.9979857527566383 0.019979857527566383
11528.15363433742 1.9680706387913505 0.019680706387913506
11552.34384612104 1.9193616621905905 0.019193616621905905
11576.534057904662 1.9349865052944422 0.01934986505294442
11600.724269688284 2.1021765926515443 0.021021765926515442
11624.914481471904 2.3569278684387034 0.023569278684387032
11649.104693255525 2.5872099243494793 0.025872099243494793
11673.294905039147 2.632328588658934 0.02632328588658934
11697.485116822769 2.615854418878443 0.02615854418878443
11721.67532860639 2.8719242635272977 0.028719242635272976
11745.865540390012 3.136909386467149 0.03136909386467149
11770.055752173634 3.3946948557594343 0.03394694855759434
11794.245963957255 2.7326088435771787 0.02732608843577179
11818.436175740877 1.9933268124392716 0.019933268124392715
11842.626387524499 1.6768132967717386 0.016768132967717387
11866.81659930812 1.6988021848387835 0.016988021848387835
11891.006811091742 1.975042961559341 0.01975042961559341
11915.197022875363 2.274452819927949 0.02274452819927949
11939.387234658985 2.3137069613089496 0.023137069613089496
11963.577446442607 2.3389102493216973 0.023389102493216973
11987.767658226228 2.5887582593774745 0.025887582593774744
12011.95787000985 2.6661443894699466 0.026661443894699467
12036.148081793472 2.21256785484432 0.022125678548443203
12060.338293577091 1.6796740104355452 0.016796740104355452
12084.528505360715 2.5575306743295765 0.025575306743295764
12108.718717144335 4258108821957.4893 42581088219.57489
12132.908928927956 2805305924723.6206 28053059247.236206
12157.099140711578 1090385532386.8884 10903855323.868885
12181.2893524952 121905536601.6905 1219055366.016905
12205.479564278821 5.68881811358799 0.0568881811358799
12229.669776062441 inf inf
12253.859987846065 inf inf
12278.050199629684 inf inf
12302.240411413306 nan nan
12326.430623196928 nan nan
12350.62083498055 nan nan
12374.81104676417 nan nan
12399.001258547793 nan nan
12423.191470331414 nan nan
12447.381682115036 nan nan
12471.571893898657 nan nan
12495.762105682279 nan nan
12519.9523174659 nan nan
12544.142529249522 nan nan
12568.332741033144 nan nan
12592.522952816766 nan nan
12616.713164600387 nan nan
12640.903376384007 nan nan
12665.09358816763 nan nan
12689.283799951252 nan nan
12713.474011734874 nan nan
12737.664223518495 nan nan
12761.854435302115 nan nan
12786.044647085737 nan nan
12810.234858869359 nan nan
12834.42507065298 nan nan
12858.6152824366 nan nan
12882.805494220222 nan nan
12906.995706003843 nan nan
12931.185917787467 nan nan
12955.376129571088 nan nan
12979.566341354708 nan nan
