filename field pointing_angle
/Users/Vince.ec/Clear_data/flt_files/icxt04e3q_flt.fits GS2 169.104706
/Users/Vince.ec/Clear_data/flt_files/icxt04e4q_flt.fits GS2 169.104599
/Users/Vince.ec/Clear_data/flt_files/icxt04edq_flt.fits GS2 169.104507
/Users/Vince.ec/Clear_data/flt_files/icxt04efq_flt.fits GS2 169.104599
/Users/Vince.ec/Clear_data/flt_files/icxt05h7q_flt.fits GS2 209.419601
/Users/Vince.ec/Clear_data/flt_files/icxt05h9q_flt.fits GS2 209.419601
/Users/Vince.ec/Clear_data/flt_files/icxt05hcq_flt.fits GS2 209.419495
/Users/Vince.ec/Clear_data/flt_files/icxt05heq_flt.fits GS2 209.419495
/Users/Vince.ec/Clear_data/flt_files/icxt06laq_flt.fits GS2 209.419601
/Users/Vince.ec/Clear_data/flt_files/icxt06lcq_flt.fits GS2 209.419601
/Users/Vince.ec/Clear_data/flt_files/icxt06lfq_flt.fits GS2 209.419495
/Users/Vince.ec/Clear_data/flt_files/icxt06lhq_flt.fits GS2 209.419495
/Users/Vince.ec/Clear_data/flt_files/icxt07dxq_flt.fits GS1 249.000793
/Users/Vince.ec/Clear_data/flt_files/icxt07dzq_flt.fits GS1 249.000702
/Users/Vince.ec/Clear_data/flt_files/icxt07e2q_flt.fits GS1 249.000595
/Users/Vince.ec/Clear_data/flt_files/icxt07e4q_flt.fits GS1 249.000793
/Users/Vince.ec/Clear_data/flt_files/icxt08e7q_flt.fits GS1 249.000793
/Users/Vince.ec/Clear_data/flt_files/icxt08e9q_flt.fits GS1 249.000702
/Users/Vince.ec/Clear_data/flt_files/icxt08ecq_flt.fits GS1 249.000595
/Users/Vince.ec/Clear_data/flt_files/icxt08eeq_flt.fits GS1 249.000793
/Users/Vince.ec/Clear_data/flt_files/icxt09f0q_flt.fits GS1 226.563293
/Users/Vince.ec/Clear_data/flt_files/icxt09f2q_flt.fits GS1 226.563293
/Users/Vince.ec/Clear_data/flt_files/icxt09f5q_flt.fits GS1 226.563095
/Users/Vince.ec/Clear_data/flt_files/icxt09f7q_flt.fits GS1 226.563202
/Users/Vince.ec/Clear_data/flt_files/icxt10dbq_flt.fits GS1 226.563293
/Users/Vince.ec/Clear_data/flt_files/icxt10deq_flt.fits GS1 226.563293
/Users/Vince.ec/Clear_data/flt_files/icxt10diq_flt.fits GS1 226.563095
/Users/Vince.ec/Clear_data/flt_files/icxt10dkq_flt.fits GS1 226.563202
/Users/Vince.ec/Clear_data/flt_files/icxt11qiq_flt.fits GS1 269.001587
/Users/Vince.ec/Clear_data/flt_files/icxt11qkq_flt.fits GS1 269.001404
/Users/Vince.ec/Clear_data/flt_files/icxt11qnq_flt.fits GS1 269.001404
/Users/Vince.ec/Clear_data/flt_files/icxt11qpq_flt.fits GS1 269.001587
/Users/Vince.ec/Clear_data/flt_files/icxt12qvq_flt.fits GS1 269.001587
/Users/Vince.ec/Clear_data/flt_files/icxt12qxq_flt.fits GS1 269.001404
/Users/Vince.ec/Clear_data/flt_files/icxt12r0q_flt.fits GS1 269.001404
/Users/Vince.ec/Clear_data/flt_files/icxt12r2q_flt.fits GS1 269.001587
/Users/Vince.ec/Clear_data/flt_files/icxt13gfq_flt.fits GS5 193.498398
/Users/Vince.ec/Clear_data/flt_files/icxt13ghq_flt.fits GS5 193.498505
/Users/Vince.ec/Clear_data/flt_files/icxt13gkq_flt.fits GS5 193.498398
/Users/Vince.ec/Clear_data/flt_files/icxt13gmq_flt.fits GS5 193.498306
