#OK
#SQL= SELECT     
#	     c.galaxyID, c.z_geo, c.z_app, g.redshift,     
#	     c.ra, c.dec, g.stellarmass, g.sfr,     
#	     g.massWeightedAge, g.rbandweightedage,g.metalsStellarMass    
#	FROM    
#	     Henriques2014a.cones.MRscPlanck1_BC03_001 c,        
#	     Henriques2014a..MRscPlanck1 g    
#	WHERE    
#	     g.galaxyId = c.galaxyId and     
#	     g.stellarmass > 5 and      
#	     g.redshift between 0.1 and 1.8 and    
#	     g.sfr / g.stellarmass < 1    
#	/* stellar mass > 5e10 and sSFR < 1e-10 */
#	ORDER by g.redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2018-01-09 01:05:09.914 CET
#QUERYTIME 70831 millisec
#COLUMN 1 name=galaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z_geo JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z_app JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=redshift JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=ra JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=dec JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=stellarmass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=sfr JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=massWeightedAge JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=rbandweightedage JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=metalsStellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
galaxyID,z_geo,z_app,redshift,ra,dec,stellarmass,sfr,massWeightedAge,rbandweightedage,metalsStellarMass
34010530000011,0.19883898,0.20001236,0.18338715,359.91925,-0.9487362,16.766417,1.2963046,6.259625,5.2440443,0.3041815
34010530001229,0.1990834,0.19917189,0.18338715,359.96515,-0.99286294,6.026759,0.33308485,5.9402475,4.9853544,0.08855719
34010746000011,0.20132336,0.20306286,0.18338715,0.91562164,-0.40018073,7.8925214,1.4312509,6.690668,5.2653737,0.16519383
450002113000011,0.17316028,0.17440704,0.18338715,359.58224,0.8141137,6.7297025,6.30547,5.406549,3.4662602,0.11913842
477004791000011,0.17914878,0.17987525,0.18338715,0.40997118,-0.44689944,10.55817,0.96618384,4.8469324,3.776871,0.16723257
477005018000011,0.17895982,0.1796044,0.18338715,0.36155212,-0.14602111,5.1744223,0.015574733,7.397189,7.0459228,0.08393048
450002019000011,0.1758818,0.17644748,0.18338715,359.36185,0.104523465,11.080384,3.1880786,6.02014,4.472414,0.19538847
47002085000338,0.24084048,0.23998427,0.22144864,0.47030187,-0.15661083,7.222274,3.668237E-4,8.046893,7.7684026,0.099510044
47023682005384,0.24142294,0.23924975,0.22144864,0.3596622,0.8844946,6.656872,4.0567433E-4,6.3620024,5.960281,0.10056752
47002215000012,0.24051256,0.24062786,0.22144864,0.89339614,0.10619817,5.033401,0.0,6.5313544,6.102395,0.084626004
36000043000012,0.22735819,0.22956564,0.22144864,359.80984,-0.90880716,6.626219,0.0,7.11016,6.7779574,0.09796153
47002124000012,0.23265052,0.23581228,0.22144864,359.2896,-0.12539558,19.847252,0.0,7.52687,7.1488304,0.3413117
36000011000934,0.2251195,0.22597694,0.22144864,0.9524243,-0.28611147,6.063278,1.2074126,5.9780383,4.827307,0.11570977
47002087003081,0.23311499,0.23488918,0.22144864,359.34665,0.55485594,7.3893986,0.15154348,7.3843365,7.024179,0.09798292
47023734000012,0.23643336,0.23788235,0.22144864,0.8061243,0.3134058,5.5466127,0.0,7.57448,7.388273,0.06722038
34010488007689,0.20460302,0.20755579,0.22144864,0.95381737,0.028772632,7.2961793,1.7333237,6.0943136,4.622543,0.15291943
47006244000788,0.23256268,0.23501308,0.22144864,359.6377,0.79422164,8.848819,1.2083186,5.614506,4.457603,0.161791
34010485000012,0.20428269,0.20535865,0.22144864,0.7909995,-0.31319883,10.625625,1.068299E-5,8.422819,7.948288,0.16435818
35006962000012,0.2104049,0.21124874,0.22144864,359.23386,-0.52228874,13.832172,0.11148798,6.083294,5.141219,0.2553503
47002087000012,0.23315702,0.23474096,0.22144864,359.31024,0.5256422,6.5495753,0.0,8.391489,8.325123,0.10015352
36000039000012,0.22515935,0.2275134,0.22144864,0.7300443,0.30228657,7.215936,0.8589766,5.242647,4.245251,0.0932291
47023682004879,0.24150592,0.23851377,0.22144864,0.2965962,0.8571671,7.306819,0.773367,5.2838793,4.091967,0.10482077
47023682000012,0.24129508,0.24076569,0.22144864,0.35689095,0.8619025,22.985748,0.0,8.928083,8.667455,0.46746594
35006895002885,0.20837379,0.20852664,0.22144864,0.570511,-0.119746186,5.0850897,0.0,8.044015,7.796541,0.06711639
47002085000012,0.24084279,0.23898387,0.22144864,0.45520207,-0.1605314,5.2857485,0.26907694,8.041344,7.670264,0.08098148
37000049002839,0.20527217,0.20563146,0.22144864,359.64594,0.77250725,8.971564,0.0,7.4324317,7.1441803,0.13773796
35006895002627,0.20880541,0.20665862,0.22144864,0.41324505,-0.22001153,8.551179,2.3091536,6.6495166,5.395268,0.18803738
34010488000012,0.20450152,0.20554763,0.22144864,0.99516803,0.07771099,11.822573,7.377114E-5,9.030414,8.964285,0.26588672
37000049000012,0.20534466,0.20632264,0.22144864,359.62067,0.785495,13.164981,0.0,8.134805,8.052927,0.23358527
47002085006406,0.24093875,0.23967905,0.22144864,0.33803013,-0.23008652,6.576953,0.31014842,8.508849,8.295077,0.089276046
34010485004408,0.20430243,0.20514874,0.22144864,0.78410083,-0.3163117,9.481769,1.107901E-5,7.7946315,7.545994,0.15621257
47002085002188,0.24017863,0.24028288,0.22144864,0.536682,-0.111512266,12.083965,0.0,7.370251,6.9397893,0.18084413
34010485006066,0.20427261,0.20619787,0.22144864,0.7938404,-0.3053272,7.140211,0.023442032,7.187799,6.8912673,0.10350196
47002390000012,0.24127185,0.24016061,0.22144864,0.19492391,-0.34451112,5.5221996,0.012757776,6.0618114,5.787424,0.070043996
34010488001982,0.20452903,0.20799929,0.22144864,0.9970466,0.0735831,7.7151256,0.0148257315,7.4765887,7.1052966,0.12819609
34010485012286,0.2045288,0.20611228,0.22144864,0.78380466,-0.28910786,11.20933,4.6636267,6.5566196,4.9122906,0.26453456
47002192000012,0.22961126,0.23192553,0.22144864,359.93152,-0.8413175,6.910908,0.0,7.628404,7.2339106,0.114418924
47002073008880,0.2549745,0.25472048,0.26262307,359.77283,0.9565344,8.095728,0.13763726,5.304102,4.7982206,0.200356
47002069047355,0.24327369,0.24186336,0.26262307,359.62833,-0.87729686,5.7066426,0.0,7.634999,7.3887267,0.08465588
46002164000497,0.25747138,0.25763148,0.26262307,0.94654065,0.3037457,6.218204,3.170325,4.8931184,3.8046627,0.09675753
47002137000013,0.24772374,0.24705733,0.26262307,0.023518104,0.46147984,6.6006947,0.9555082,6.146981,5.1477833,0.106418386
47002073012549,0.25513628,0.2527718,0.26262307,359.8684,0.85479456,7.0050883,3.7650826,6.1820483,4.4934826,0.1752989
409000163000013,0.28325203,0.28433362,0.26262307,0.5358755,0.18040644,9.401503,3.7532136,4.078791,2.7906044,0.1612325
46002445000013,0.25625485,0.25545788,0.26262307,0.22980286,-0.21493044,8.374657,8.077963,5.3638096,3.2629142,0.18924884
46002208000013,0.26716354,0.26615012,0.26262307,359.97845,-0.950517,7.249784,0.10981297,7.829801,7.580734,0.12226367
47002073000013,0.25522357,0.25416768,0.26262307,359.87497,0.81964415,11.560645,0.0,7.583805,7.3535614,0.24291742
47002152000013,0.2507423,0.25022843,0.26262307,359.41476,-0.7455918,5.5219193,0.19847056,3.961839,2.96375,0.072881006
46002091013774,0.2560671,0.2543947,0.26262307,0.29648808,0.50202453,7.5872006,5.751514,4.5454926,3.395025,0.11436124
47002107001953,0.2512976,0.25129488,0.26262307,359.71503,-0.47415042,9.201895,5.928931,5.453519,3.6562982,0.23635262
47002073003149,0.2552154,0.25558364,0.26262307,359.8701,0.8200026,6.060215,0.038021263,7.741365,7.48308,0.093596905
46002091000013,0.25579333,0.25432274,0.26262307,0.23084986,0.45518494,19.362333,2.3285249E-5,8.7016325,8.764459,0.42257515
46002091009583,0.25586796,0.25597778,0.26262307,0.25141343,0.4311126,10.744432,0.8738026,6.386527,5.675511,0.18463805
47002152000360,0.25074103,0.24952175,0.26262307,359.4146,-0.7452446,5.714855,1.17273,5.8277483,4.822892,0.10296587
409000130000013,0.28438395,0.28450617,0.26262307,0.47346365,0.12916641,7.964528,0.0010028218,6.2765737,5.5500436,0.14653727
47002073012942,0.25499406,0.2549023,0.26262307,359.81512,0.9661985,7.690198,0.03038399,7.107439,6.7407875,0.11410898
47002107000013,0.2513847,0.2507912,0.26262307,359.73297,-0.40402526,8.289396,0.0,7.8138394,7.3790646,0.11638357
47002217000013,0.25376981,0.25379995,0.26262307,0.8075116,0.56324035,6.171518,0.28254408,5.525749,4.84596,0.08825468
46002165000013,0.26771075,0.26668972,0.26262307,359.85333,-0.6065172,7.047704,0.0,7.868026,7.6687846,0.111095466
46002091010845,0.25612137,0.25497267,0.26262307,0.37522694,0.3617873,6.428294,2.99192,6.599763,5.794465,0.07987913
46002138000013,0.26551762,0.26441848,0.26262307,0.5154192,-0.22205591,6.040577,0.0,7.0297227,6.7670393,0.09269537
47002073003927,0.25522393,0.2549233,0.26262307,359.8818,0.8067736,5.2117295,9.5459534E-4,7.2918787,7.0290093,0.07716129
410013365000014,0.3293397,0.32957584,0.30621117,359.9382,-0.19322048,10.538224,0.0,7.3480973,7.134193,0.18672338
387016179000014,0.32871887,0.32898366,0.30621117,359.15945,-0.26829654,6.3405714,0.0,6.7375693,6.5021353,0.10324663
409011043000014,0.30094036,0.30145043,0.30621117,0.35298556,0.2671736,8.256979,0.0,6.020315,5.5365653,0.16271074
410013399000014,0.32635495,0.32578683,0.30621117,359.4754,0.7934738,7.1776214,0.022569837,5.9730372,5.477723,0.11215544
414000046000014,0.29777673,0.2977745,0.30621117,359.15387,-0.42850265,5.0016947,1.0617949,4.4192033,3.6096027,0.06907866
410013371000833,0.3252463,0.32470754,0.30621117,0.6002389,0.61468005,9.817849,1.0663399,5.3557243,4.3407793,0.16494143
409010913000014,0.30086452,0.30117366,0.30621117,359.94724,0.025355581,5.3395386,0.0,7.9057064,7.798297,0.08401409
410013356005073,0.32871827,0.3300322,0.30621117,359.01477,0.058564205,6.486489,0.0,6.494805,6.2113585,0.0916816
409000180000014,0.28859285,0.2877239,0.30621117,0.6971447,0.029244032,7.6745186,0.0,6.5124865,6.152304,0.12854175
410013371000014,0.3251698,0.32499844,0.30621117,0.620392,0.66143113,6.822193,0.0013075988,6.2731752,6.022325,0.096401006
410000076000014,0.30966187,0.30931732,0.30621117,0.18990223,-0.70902777,9.763073,0.059020568,7.7811317,7.6316023,0.17382321
409010933000603,0.30129188,0.30136636,0.30621117,0.31505743,-0.0860594,6.150649,0.04582317,5.98675,5.6109495,0.082397364
410000076001718,0.30977815,0.30911043,0.30621117,0.13864762,-0.6803206,5.9229875,5.2436275,5.3096385,3.6915386,0.11309934
410013372000014,0.3273593,0.3279315,0.30621117,359.6823,-0.07531359,10.761919,0.0,7.873849,7.8170133,0.19576529
410000085000374,0.3134357,0.3122764,0.30621117,0.05995176,-0.95572364,5.953139,1.7474591E-6,6.4907913,6.316765,0.13243656
414000163000014,0.29780886,0.29764923,0.30621117,359.13672,-0.29209024,8.457126,0.13130489,5.133836,4.3586826,0.13909504
410013408000014,0.31909686,0.3191223,0.30621117,359.78357,-0.852728,5.594309,0.06468943,4.018042,3.5721939,0.06835629
470000213000014,0.29370093,0.29321495,0.30621117,359.81055,-0.91309935,10.195126,0.073069684,6.4010134,6.0851097,0.17344145
410013387000014,0.32444605,0.32420394,0.30621117,0.80726075,-0.38105026,5.8878613,0.038319882,6.438356,6.1078315,0.08651707
410013371001212,0.32514778,0.32453415,0.30621117,0.6015561,0.6975242,5.2304573,0.2758595,5.217256,4.4800963,0.070550576
409000149000014,0.28582868,0.28622645,0.30621117,359.71228,0.8516034,6.994361,0.0077560255,6.2885237,5.861812,0.10631089
