Wavelenth F_lambda
3250 0.002097298818949722
3260 0.002253432924236978
3270 0.002351883546258124
3280 0.002383265411931894
3290 0.0023742281378039245
3300 0.0023543473247615364
3310 0.002340118986963001
3320 0.002336181584557714
3330 0.002325235084058502
3340 0.0022858997015167432
3350 0.002201520756599645
3360 0.0020723197515623883
3370 0.0019736091078005765
3380 0.0019771498089316626
3390 0.0020268396880551024
3400 0.002067767350625473
3410 0.002102551336879946
3420 0.0021433020686971306
3430 0.0021850619986138564
3440 0.0022221114998876397
3450 0.0022573802753420727
3460 0.0022969604064384014
3470 0.002350272107070618
3480 0.0024229553626121106
3490 0.002498740741377273
3500 0.002556174054140336
3510 0.0025712121304443097
3520 0.002537229133877041
3530 0.0025222857269131364
3540 0.00255775043645674
3550 0.0025441405473095387
3560 0.0024074058650380013
3570 0.0022461946436268102
3580 0.002203058586570928
3590 0.002297437797571747
3600 0.0024164182205603725
3610 0.0024266394321698155
3620 0.0024792280828520924
3630 0.0025911330172761343
3640 0.002643188205246276
3650 0.002745401369566899
3660 0.0029213731183308357
3670 0.0029501909043373833
3680 0.002909910569626678
3690 0.0029147123159448886
3700 0.0029460584291185195
3710 0.0028947171722518376
3720 0.0027683040537375358
3730 0.002639105448889425
3740 0.002586201063826056
3750 0.002634674232651844
3760 0.0028290494729614666
3770 0.0030343284274958818
3780 0.003218056402435516
3790 0.003144749630826366
3800 0.0030611461518393417
3810 0.0030883792264583504
3820 0.0028916870078159415
3830 0.002662791251203421
3840 0.0027327042449980018
3850 0.003016445765976938
3860 0.003179450886789489
3870 0.0031891346225380386
3880 0.0031346258145559464
3890 0.0031602035215756385
3900 0.0033848907322701796
3910 0.0034843477756423573
3920 0.003248625951811628
3930 0.0028017907349157938
3940 0.0027606744307146647
3950 0.0030940868439910192
3960 0.003099553119235039
3970 0.0030405598417317966
3980 0.0035078854644239156
3990 0.004136763840690212
4000 0.0044927859074230655
4010 0.004698515709246437
4020 0.004831208670223686
4030 0.004854551126019013
4040 0.004826271162931847
4050 0.004756107491247374
4060 0.004712017901476661
4070 0.004697561591505475
4080 0.00474026300060557
4090 0.004750618952309273
4100 0.004644936730091384
4110 0.004661175007106638
4120 0.004794210356719139
4130 0.004836567158315081
4140 0.004854856257440541
4150 0.004869896199802676
4160 0.004882825112736082
4170 0.004855935133601211
4180 0.004819074399771159
4190 0.004841181612939104
4200 0.004869746667165705
4210 0.0049110045429177325
4220 0.0049172828545678325
4230 0.0049176518437922066
4240 0.004982015578730183
4250 0.004999522543078814
4260 0.004966081375587468
4270 0.004909921082881893
4280 0.004819445554393799
4290 0.004659367897330021
4300 0.00449545101136339
4310 0.004563755892222933
4320 0.004823878541110024
4330 0.004922367127304366
4340 0.005000415473177755
4350 0.005134225311989302
4360 0.005283796818047147
4370 0.005341209174064508
4380 0.005305029168038986
4390 0.005296345322480337
4400 0.0053707165225524425
4410 0.005464275083176592
4420 0.005563212580812544
4430 0.005625962890821904
4440 0.005659683469870259
4450 0.005669899551080044
4460 0.005687379811879122
4470 0.0057945619528250334
4480 0.005927366907711402
4490 0.006019504065979878
4500 0.006091443307471246
4510 0.006122107590632139
4520 0.006048542038406949
4530 0.0059612624142572805
4540 0.005957094279139168
4550 0.006014118058596499
4560 0.006066602679773324
4570 0.006114531465171338
4580 0.006122288853760334
4590 0.0061298395717210765
4600 0.006174584704145956
4610 0.006245247214246246
4620 0.006288761013997384
4630 0.006266929668783605
4640 0.0061923865983539465
4650 0.0061314094910287515
4660 0.006112735450886347
4670 0.006116875308877564
4680 0.006129045813149328
4690 0.006139921646041965
4700 0.006146229239537097
4710 0.006172213316991063
4720 0.006224555398997179
4730 0.006256335653345525
4740 0.006276387433190904
4750 0.006290714017108618
4760 0.006279529692513239
4770 0.006287471673280189
4780 0.006315652613091998
4790 0.006343704826584164
4800 0.006362762332865289
4810 0.0063687596589272685
4820 0.0063504450225531014
4830 0.00627140294935912
4840 0.006154157731593236
4850 0.005983996854922181
4860 0.0058352207935276745
4870 0.0058329494181267715
4880 0.0059774398897434935
4890 0.0061123978193234505
4900 0.006205941614745096
4910 0.006236265219672597
4920 0.00621870746379574
4930 0.00623493939596493
4940 0.006279481081928481
4950 0.006303271931294051
4960 0.006290829948979646
4970 0.006247772452043632
4980 0.0061817627401437
4990 0.006096752843716045
5000 0.00603500994998355
5010 0.005973940965407634
5020 0.0059734578005674385
5030 0.006000958612365106
5040 0.006046417742179053
5050 0.006088212709070836
5060 0.0061166336815677924
5070 0.006086424710752536
5080 0.006036248540567318
5090 0.006015593859525218
5100 0.006018516519970018
5110 0.0060120517357690525
5120 0.0059944735924656305
5130 0.005943929966696833
5140 0.005874083134144139
5150 0.005799736988562505
5160 0.005705533661884929
5170 0.005582832711322706
5180 0.005595578476781119
5190 0.005679801940993746
5200 0.0057769521029944
5210 0.005862032692007857
5220 0.0059335857236685685
5230 0.0059791215656339915
5240 0.0060242740001717554
5250 0.006008554674810897
5260 0.005960672458000423
5270 0.005971832274418072
5280 0.006069102661573464
5290 0.006193860492777507
5300 0.006253511599587045
5310 0.006283610156130665
5320 0.006260601680987557
5330 0.006223496912740366
5340 0.006261351404202015
