P(z) z
1617.1184403382517 0.01
1628.6580510004555 0.0201
1630.1497547832107 0.030301
1627.8235508085488 0.04060401
1612.3858872794694 0.0510100501
1593.6942352696753 0.061520150601
1578.6674316558267 0.07213535210701
1476.3496239809438 0.0828567056280801
1444.641838570707 0.0936852726843609
1438.3323702502985 0.10462212541120451
1429.077880025547 0.11566834666531656
1421.0369772661218 0.12682503013196972
1403.739762560161 0.13809328043328942
1400.4485026110492 0.1494742132376223
1395.9207827274806 0.16096895536999853
1382.9004967560963 0.1725786449236985
1360.72586459641 0.1843044313729355
1334.7308010172924 0.19614747568666485
1310.1018407750787 0.2081089504435315
1280.8944764740081 0.22019003994796682
1253.7445260240963 0.23239194034744648
1230.7393972310888 0.24471585975092094
1210.6385371124986 0.25716301834843014
1184.4389909175177 0.2697346485319144
1156.4984627560852 0.2824319950172336
1132.330793523751 0.29525631496740595
1128.7351354497775 0.30820887811708003
1119.0105414341979 0.3212909668982508
1116.682873517621 0.33450387656723335
1102.8118504615845 0.3478489153329057
1079.8579283638546 0.36132740448623474
1057.9771172625888 0.3749406785310971
1029.2401574790001 0.38869008531640803
998.3207709281645 0.4025769861695721
960.3892486304311 0.41660275603126784
918.2681386107844 0.4307687835915805
881.9747212420198 0.4450764714274963
838.1944870190198 0.45952723614177127
794.1357212433545 0.474122508503189
755.9587278260886 0.4888637335882209
715.2942912657962 0.5037523709241031
676.1038224057129 0.5187898946333441
637.9536481931476 0.5339777935796776
597.4088241106369 0.5493175715154743
555.8177931468259 0.5648107472306291
515.1323629572447 0.5804588547029353
473.7939081050794 0.5962634432499647
437.06757015008236 0.6122260776824644
400.3752945770263 0.6283483384592891
366.28794288387456 0.6446318218438819
335.33179266429255 0.6610781400623207
302.7091760904235 0.6776889214629439
270.06619192224804 0.6944658106775733
238.69118746476656 0.711410468784349
208.3318693094682 0.7285245734721925
179.5954912711076 0.7458098192069144
150.36674120993126 0.7632679173989835
121.98237301023192 0.7809005965729733
96.65619800433224 0.798709602538703
75.00651170435114 0.8166966985640901
56.583820271433524 0.834863665549731
42.77703364703932 0.8532123022052284
32.89711280892385 0.8717444252272807
27.104201406114964 0.8904618694795535
24.79786133324016 0.9093664881743491
24.75466064582392 0.9284601530560925
24.61040290336592 0.9477447545866534
23.79227655038713 0.96722220213252
22.47176733964963 0.9868944241538452
21.384217049471694 1.0067633683953836
21.04386435660695 1.0268310020793374
21.93250925604456 1.0470993121001309
24.13360560953177 1.067570305221132
28.262676112795145 1.0882460082733434
32.601563900546466 1.109128468356077
36.55324777120804 1.1302197530396376
38.56913983955547 1.151521950570034
39.468698836995095 1.1730371700757343
41.351465086994416 1.1947675417764916
43.91923112805514 1.2167152171942566
47.38318375930426 1.2388823693661992
51.89349924527041 1.2612711930598612
57.10934107740763 1.2838839049904598
63.677226403713945 1.3067227440403644
70.99964357415361 1.329789971480768
81.74823508233972 1.3530878711955756
95.03499106741423 1.3766187499075313
110.45005982463529 1.4003849374066066
128.26714751362863 1.4243887867806726
147.8286277430746 1.4486326746484792
169.03681841128792 1.473119001394964
191.10438606704636 1.4978501914089137
213.94415279242486 1.5228286933230029
238.25692810626649 1.548056980256233
263.6613633284464 1.5735375500587954
288.6987788617144 1.5992729255593834
312.51821600312223 1.6252656548149773
334.08955008907895 1.651518311363127
353.3162794171833 1.6780334944767583
370.7338306759994 1.7048138294215258
389.95067999082215 1.731861967715741
409.01092410611557 1.7591805873928983
427.74540474707044 1.7867723932668274
448.3939812555229 1.8146401171994957
466.7398736901082 1.8427865183714907
486.15689353939143 1.8712143835552055
506.1534992815986 1.8999265273907575
527.5365262741697 1.928925792664665
553.5203440550488 1.9582150505913116
580.5933186020667 1.9877972010972247
609.0568450900511 2.0176751731081968
636.0838055460817 2.0478519248392786
665.6885260205403 2.0783304440876713
695.7515245366382 2.109113748528548
725.9672741407443 2.140204886013833
761.504970606364 2.1716069348739717
800.8897618619794 2.203323004222711
843.6757880816386 2.2353562342649385
883.0327089217196 2.267709796607588
926.509523150874 2.3003868945736636
973.2511132048658 2.3333907635194002
1012.5586106561792 2.366724671154594
1048.7318292884293 2.40039191786614
1086.5024874746014 2.4343958370448013
1132.5348679130136 2.4687397954152495
1172.5191800334937 2.503427193369402
1204.236624134558 2.5384614653030964
1229.2361602436974 2.573846079956127
1259.2600021525534 2.6095845407556886
1277.6843546854166 2.6456803861632454
1294.7893645262882 2.682137190024878
1305.8294819394316 2.7189585619251266
1319.5968466275308 2.756148147544378
1332.4955222353572 2.793709629019822
1336.4509845233815 2.83164672531002
1348.5862730275308 2.8699631925631204
1353.6478587038446 2.9086628244887516
1354.3930760788112 2.947749452733639
1358.6251601226902 2.987226947260975
1362.814327433735 3.027099216733585
1372.8307048729384 3.067370208900921
1378.2429128592455 3.10804391098993
1382.2905628032609 3.149124350099829
1384.9994680887742 3.1906155936008274
1391.1757783352023 3.2325217495368355
1382.9217742857209 3.274846967032204
1372.51824871075 3.317595436702526
