wv er
3361.31047090792 1.6580879053761783e-16
3362.3108609290234 1.6607391185010842e-16
3363.311250950127 1.6561530968361922e-16
3364.3116409712306 1.663419316034654e-16
3365.3120309923343 1.6721990772307409e-16
3366.312421013438 1.6712218129678462e-16
3367.3128110345415 1.693105173857957e-16
3368.313201055645 1.7288024509777035e-16
3369.3135910767487 1.7616882404570557e-16
3370.3139810978523 1.7741148755377663e-16
3371.314371118956 1.7743683236774526e-16
3372.3147611400595 1.769008590354803e-16
3373.315151161163 1.7740268635205907e-16
3374.3155411822668 1.7733086060510987e-16
3375.3159312033704 1.7581281874495255e-16
3376.316321224474 1.7503746596085964e-16
3377.3167112455776 1.7278228044346447e-16
3378.317101266681 1.7244539955847368e-16
3379.317491287785 1.7105559054559678e-16
3380.3178813088884 1.6933126969300344e-16
3381.318271329992 1.695865310125924e-16
3382.3186613510957 1.685037449733156e-16
3383.3190513721993 1.6774641810913144e-16
3384.319441393303 1.6599320549210285e-16
3385.3198314144065 1.6576711386963495e-16
3386.32022143551 1.6616637079025715e-16
3387.3206114566137 1.652234245966161e-16
3388.3210014777173 1.650907977659218e-16
3389.321391498821 1.6490781217953527e-16
3390.3217815199246 1.636854377575289e-16
3391.322171541028 1.6352436914865258e-16
3392.322561562132 1.62622927569427e-16
3393.3229515832354 1.6232170147755968e-16
3394.323341604339 1.6190052757942728e-16
3395.3237316254426 1.6359577137912816e-16
3396.3241216465462 1.6206329025419811e-16
3397.32451166765 1.6194729967998348e-16
3398.3249016887535 1.6249579321800004e-16
3399.325291709857 1.6273034193505068e-16
3400.3256817309607 1.624435683428459e-16
3401.3260717520643 1.616932427353664e-16
3402.326461773168 1.5984141695443168e-16
3403.3268517942715 1.5854798440908456e-16
3404.327241815375 1.5868867128766758e-16
3405.3276318364788 1.5666806095710265e-16
3406.3280218575824 1.5671123316763301e-16
3407.328411878686 1.568468113787529e-16
3408.3288018997896 1.5546593591649158e-16
3409.329191920893 1.551652789248857e-16
3410.329581941997 1.545521064804124e-16
3411.3299719631004 1.5321736784399683e-16
3412.330361984204 1.5346908221311917e-16
3413.3307520053077 1.5354481225255962e-16
3414.3311420264113 1.540343311216236e-16
3415.331532047515 1.5233490509674566e-16
3416.3319220686185 1.5389648974434777e-16
3417.332312089722 1.545943125439873e-16
3418.3327021108257 1.5613276260421753e-16
3419.3330921319293 1.565160450128501e-16
3420.333482153033 1.5726699266015024e-16
3421.3338721741366 1.5635168091641336e-16
3422.33426219524 1.5492394070936724e-16
3423.334652216344 1.5528555760339582e-16
3424.3350422374474 1.5496320862740635e-16
3425.335432258551 1.5547962079254566e-16
3426.3358222796546 1.554506363838818e-16
3427.3362123007582 1.549466517802655e-16
3428.336602321862 1.5478791251199412e-16
3429.3369923429655 1.5458702011970704e-16
3430.337382364069 1.5393729290960378e-16
3431.3377723851727 1.5328974945631767e-16
3432.3381624062763 1.532931508229965e-16
3433.33855242738 1.5426126977703875e-16
3434.3389424484835 1.5431459314804637e-16
3435.339332469587 1.5389200311670528e-16
3436.3397224906907 1.543678900492744e-16
3437.3401125117944 1.546349436556759e-16
3438.340502532898 1.5255571599818302e-16
3439.3408925540016 1.516758208195532e-16
3440.341282575105 1.4985267504481693e-16
3441.341672596209 1.5004957050038416e-16
3442.3420626173124 1.4990631605317977e-16
3443.342452638416 1.4966103384050065e-16
3444.3428426595196 1.48493372452931e-16
3445.3432326806233 1.4743775764241532e-16
3446.343622701727 1.4756634783172037e-16
3447.3440127228305 1.4814639334702215e-16
3448.344402743934 1.4818685240514334e-16
3449.3447927650377 1.483825699555183e-16
3450.3451827861413 1.5012909895319745e-16
3451.345572807245 1.5117601844111397e-16
3452.3459628283485 1.532262749248328e-16
3453.346352849452 1.5442380745868297e-16
3454.3467428705558 1.5478848161225555e-16
3455.3471328916594 1.5361666446928843e-16
3456.347522912763 1.5268592084404376e-16
3457.3479129338666 1.5164487764719883e-16
3458.34830295497 1.508132236418931e-16
3459.348692976074 1.4879338093493663e-16
3460.3490829971774 1.4788485868966758e-16
3461.349473018281 1.4667750586758519e-16
3462.3498630393847 1.4629475285454465e-16
3463.3502530604883 1.4549045536645729e-16
3464.350643081592 1.4514624235251682e-16
3465.3510331026955 1.432209364634078e-16
3466.351423123799 1.4293483785058286e-16
3467.3518131449027 1.4421899273817958e-16
3468.3522031660063 1.4420492405032128e-16
3469.35259318711 1.4347275671164854e-16
3470.3529832082136 1.4251334631509524e-16
3471.353373229317 1.431414344803741e-16
3472.353763250421 1.4357580356363795e-16
3473.3541532715244 1.4255699498165843e-16
3474.354543292628 1.4016713122564983e-16
3475.3549333137316 1.377533520237711e-16
3476.3553233348352 1.3734084697845824e-16
3477.355713355939 1.384180875989085e-16
3478.3561033770425 1.4064671069247337e-16
3479.356493398146 1.438840706168793e-16
3480.3568834192497 1.4674574495939836e-16
3481.3572734403533 1.489254519002593e-16
3482.357663461457 1.5016288762685902e-16
3483.3580534825605 1.49579268691311e-16
3484.358443503664 1.4865683657686127e-16
3485.3588335247678 1.4742736825392166e-16
3486.3592235458714 1.4687993350708916e-16
3487.359613566975 1.4570503263479844e-16
3488.3600035880786 1.4542240156310132e-16
3489.360393609182 1.4288119684222002e-16
3490.360783630286 1.4112362994644695e-16
3491.3611736513894 1.3926134860256956e-16
3492.361563672493 1.3855332170289357e-16
3493.3619536935967 1.3782439691222204e-16
3494.3623437147003 1.3665002543552336e-16
3495.362733735804 1.3634993754417892e-16
3496.3631237569075 1.3578398718651504e-16
3497.363513778011 1.3511514879553936e-16
3498.3639037991147 1.3494591425965591e-16
3499.3642938202183 1.3464729544107937e-16
3500.364683841322 1.3502759999950675e-16
3501.3650738624256 1.358519218758628e-16
3502.365463883529 1.3530520181307955e-16
3503.365853904633 1.3387126767760662e-16
3504.3662439257364 1.3394955205077864e-16
3505.36663394684 1.3400402685719893e-16
3506.3670239679436 1.328787435867716e-16
3507.3674139890472 1.3142630707535708e-16
3508.367804010151 1.3123813341216862e-16
3509.3681940312545 1.3246205631628168e-16
3510.368584052358 1.3385035655172128e-16
3511.3689740734617 1.325402612801149e-16
3512.3693640945653 1.316543971661849e-16
3513.369754115669 1.3080600102528112e-16
3514.3701441367725 1.295857044809735e-16
3515.370534157876 1.2918863131716843e-16
3516.3709241789797 1.309210254525403e-16
3517.3713142000834 1.3243188076753575e-16
3518.371704221187 1.331534866641474e-16
3519.3720942422906 1.3063789145503074e-16
3520.372484263394 1.287123870425747e-16
3521.372874284498 1.2832186514922107e-16
3522.3732643056014 1.268934367279053e-16
3523.373654326705 1.2599697146724483e-16
3524.3740443478086 1.2528734314590294e-16
3525.3744343689123 1.2366227073192616e-16
3526.374824390016 1.23481786539712e-16
3527.3752144111195 1.2448407797922004e-16
3528.375604432223 1.2526357328382061e-16
