wv fl
3357.94074595687 542.2613525390625
3358.940133083643 539.3058471679688
3359.939520210416 583.0472412109375
3360.938907337189 524.0738525390625
3361.938294463962 616.5269775390625
3362.937681590735 514.3472290039062
3363.937068717508 551.7926025390625
3364.9364558442808 615.784912109375
3365.9358429710537 703.82470703125
3366.9352300978267 630.236328125
3367.9346172245996 569.356689453125
3368.9340043513726 626.9866943359375
3369.9333914781455 682.4201049804688
3370.9327786049184 557.8546752929688
3371.9321657316914 601.0645141601562
3372.9315528584643 650.9502563476562
3373.9309399852373 641.7609252929688
3374.93032711201 657.56591796875
3375.929714238783 694.2940673828125
3376.929101365556 696.9108276367188
3377.928488492329 744.2327880859375
3378.927875619102 694.5090942382812
3379.927262745875 701.2418212890625
3380.926649872648 689.2860107421875
3381.926036999421 770.235107421875
3382.925424126194 853.8382568359375
3383.9248112529667 839.1444091796875
3384.9241983797397 813.18994140625
3385.9235855065126 795.0864868164062
3386.9229726332856 793.75244140625
3387.9223597600585 730.66455078125
3388.9217468868314 775.6674194335938
3389.9211340136044 800.0404663085938
3390.9205211403773 810.9606323242188
3391.9199082671503 811.38720703125
3392.919295393923 770.7886352539062
3393.918682520696 774.8352661132812
3394.918069647469 856.2241821289062
3395.917456774242 913.2808837890625
3396.916843901015 923.7921752929688
3397.916231027788 938.7609252929688
3398.915618154561 1039.8057861328125
3399.915005281334 1008.9840087890625
3400.914392408107 1032.5587158203125
3401.9137795348797 1036.98486328125
3402.9131666616527 1015.7711181640625
3403.9125537884256 1020.236328125
3404.9119409151986 1047.8935546875
3405.9113280419715 881.5867309570312
3406.9107151687444 900.4506225585938
3407.9101022955174 944.7716674804688
3408.9094894222903 976.5960693359375
3409.9088765490633 982.333984375
3410.908263675836 1026.4097900390625
3411.907650802609 1056.45556640625
3412.907037929382 1027.4287109375
3413.906425056155 981.5587768554688
3414.905812182928 1000.580322265625
3415.905199309701 1005.7822265625
3416.904586436474 988.15771484375
3417.903973563247 996.3233032226562
3418.90336069002 1033.390625
3419.9027478167927 1168.093017578125
3420.9021349435657 1198.5592041015625
3421.9015220703386 1174.53125
3422.9009091971116 1142.2734375
3423.9002963238845 1140.381591796875
3424.8996834506574 1157.233154296875
3425.8990705774304 1173.42333984375
3426.8984577042033 1193.240478515625
3427.8978448309763 1138.48681640625
3428.897231957749 1265.2620849609375
3429.896619084522 1281.697998046875
3430.896006211295 1252.88427734375
3431.895393338068 1156.7984619140625
3432.894780464841 1131.073974609375
3433.894167591614 1178.99951171875
3434.893554718387 1135.176513671875
3435.89294184516 1214.299560546875
3436.892328971933 1195.779052734375
3437.8917160987057 1180.639404296875
3438.8911032254787 1157.7879638671875
3439.8904903522516 1063.5185546875
3440.8898774790246 990.904541015625
3441.8892646057975 951.6201171875
3442.8886517325705 1004.8029174804688
3443.8880388593434 955.4835205078125
